"",BBK01.OEAE07N,BBK01.OEAE07N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:36,
2002-01,21.024,
2002-04,21.361,
2002-07,21.542,
2002-10,22.066,
2003-01,22.079,
2003-04,22.358,
2003-07,22.485,
2003-10,22.669,
2004-01,22.668,
2004-04,23.048,
2004-07,23.222,
2004-10,23.222,
2005-01,23.474,
2005-04,23.647,
2005-07,23.621,
2005-10,23.956,
2006-01,25.288,
2006-04,25.453,
2006-07,25.657,
2006-10,25.887,
2007-01,25.918,
2007-04,26.126,
2007-07,25.346,
2007-10,25.674,
2008-01,26.039,
2008-04,26.266,
2008-07,26.201,
2008-10,26.569,
2009-01,26.824,
2009-04,27.184,
2009-07,27.065,
2009-10,27.089,
2010-01,27.796,
2010-04,27.952,
2010-07,28.151,
2010-10,28.455,
2011-01,28.576,
2011-04,28.786,
2011-07,28.898,
2011-10,29.076,
2012-01,29.215,
2012-04,19.389,
2012-07,19.373,
2012-10,19.545,
2013-01,19.511,
2013-04,19.538,
2013-07,19.559,
2013-10,19.662,
2014-01,19.642,
2014-04,19.595,
2014-07,19.620,
