"",BBK01.OECL05L,BBK01.OECL05L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:46,
2002-01,0.083,
2002-04,0.101,
2002-07,0.104,
2002-10,0.091,
2003-01,0.088,
2003-04,0.087,
2003-07,0.089,
2003-10,0.095,
2004-01,0.105,
2004-04,0.105,
2004-07,0.109,
2004-10,0.158,
2005-01,0.316,
2005-04,0.322,
2005-07,0.308,
2005-10,0.295,
2006-01,0.270,
2006-04,0.274,
2006-07,0.280,
2006-10,0.271,
2007-01,0.385,
2007-04,0.363,
2007-07,0.383,
2007-10,0.432,
2008-01,0.471,
2008-04,0.532,
2008-07,0.551,
2008-10,0.632,
2009-01,0.770,
2009-04,0.851,
2009-07,0.953,
2009-10,0.721,
2010-01,0.734,
2010-04,0.756,
2010-07,0.831,
2010-10,0.839,
2011-01,0.805,
2011-04,0.751,
2011-07,0.812,
2011-10,0.795,
2012-01,0.814,
2012-04,0.765,
2012-07,0.794,
2012-10,0.761,
2013-01,0.741,
2013-04,0.804,
2013-07,0.841,
2013-10,0.741,
2014-01,0.721,
2014-04,0.672,
2014-07,0.625,
