"",BBFN1.M.DE.N.1.L.KY.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.KY.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
1986-08,0.040,
1986-09,0.035,
1986-10,0.036,
1986-11,0.041,
1986-12,0.016,
1987-01,0.038,
1987-02,0.041,
1987-03,0.031,
1987-04,0.021,
1987-05,0.022,
1987-06,0.031,
1987-07,0.026,
1987-08,.,No value available
1987-09,0.042,
1987-10,0.102,
1987-11,0.089,
1987-12,0.069,
1988-01,0.062,
1988-02,0.049,
1988-03,0.052,
1988-04,0.052,
1988-05,0.056,
1988-06,0.047,
1988-07,0.044,
1988-08,0.044,
1988-09,0.043,
1988-10,0.042,
1988-11,0.068,
1988-12,0.058,
1989-01,0.058,
1989-02,0.052,
1989-03,0.044,
1989-04,0.046,
1989-05,0.050,
1989-06,0.055,
1989-07,0.044,
1989-08,0.064,
1989-09,0.053,
1989-10,0.049,
1989-11,0.041,
1989-12,0.039,
1990-01,0.028,
1990-02,0.276,
1990-03,0.341,
1990-04,0.356,
1990-05,0.355,
1990-06,0.389,
1990-07,0.375,
1990-08,0.375,
1990-09,0.348,
1990-10,0.369,
1990-11,0.407,
1990-12,0.415,
1991-01,0.364,
1991-02,0.364,
1991-03,0.360,
1991-04,0.379,
1991-05,0.381,
1991-06,0.369,
1991-07,0.375,
1991-08,0.358,
1991-09,0.367,
1991-10,0.398,
1991-11,0.404,
1991-12,0.482,
1992-01,0.424,
1992-02,0.423,
1992-03,0.433,
1992-04,0.428,
1992-05,0.413,
1992-06,0.429,
1992-07,0.416,
1992-08,0.419,
1992-09,0.419,
1992-10,0.419,
1992-11,0.457,
1992-12,0.443,
1993-01,0.429,
1993-02,0.433,
1993-03,0.447,
1993-04,0.452,
1993-05,0.514,
1993-06,0.526,
1993-07,0.544,
1993-08,0.534,
1993-09,0.515,
1993-10,0.520,
1993-11,0.503,
1993-12,0.521,
1994-01,0.488,
1994-02,0.104,
1994-03,0.169,
1994-04,0.268,
1994-05,0.285,
1994-06,0.275,
1994-07,0.235,
1994-08,0.297,
1994-09,0.261,
1994-10,0.303,
1994-11,0.323,
1994-12,0.284,
1995-01,0.301,
1995-02,0.326,
1995-03,0.337,
1995-04,0.362,
1995-05,0.324,
1995-06,0.277,
1995-07,0.258,
1995-08,0.273,
1995-09,0.263,
1995-10,0.262,
1995-11,0.255,
1995-12,0.284,
1996-01,0.240,
1996-02,0.196,
1996-03,0.142,
1996-04,0.265,
1996-05,0.201,
1996-06,0.215,
1996-07,0.283,
1996-08,0.199,
1996-09,0.255,
1996-10,0.196,
1996-11,0.175,
1996-12,0.181,
1997-01,0.146,
1997-02,0.188,
1997-03,0.160,
1997-04,0.112,
1997-05,0.170,
1997-06,0.080,
1997-07,0.065,
1997-08,0.061,
1997-09,0.059,
1997-10,0.044,
1997-11,0.043,
1997-12,0.040,
1998-01,0.040,
1998-02,0.043,
1998-03,0.055,
1998-04,0.053,
1998-05,0.059,
1998-06,0.058,
1998-07,0.046,
1998-08,0.070,
1998-09,0.048,
1998-10,0.050,
1998-11,0.056,
1998-12,0.057,
1999-01,0.057,
1999-02,0.053,
1999-03,0.059,
1999-04,0.109,
1999-05,0.180,
1999-06,0.103,
1999-07,0.088,
1999-08,0.093,
1999-09,0.070,
1999-10,7.038,
1999-11,3.733,
1999-12,.,No value available
2000-01,.,No value available
2000-02,.,No value available
2000-03,0.294,
2000-04,0.262,
2000-05,0.354,
2000-06,0.478,
2000-07,0.885,
2000-08,1.149,
2000-09,1.150,
2000-10,1.208,
2000-11,0.983,
2000-12,0.577,
2001-01,0.350,
2001-02,0.728,
2001-03,0.783,
2001-04,0.672,
2001-05,1.270,
2001-06,3.394,
2001-07,3.301,
2001-08,3.093,
2001-09,3.431,
2001-10,3.816,
2001-11,0.154,
2001-12,0.108,
2002-01,0.070,
2002-02,0.074,
2002-03,0.067,
2002-04,0.050,
2002-05,0.057,
2002-06,0.050,
2002-07,0.050,
2002-08,0.050,
2002-09,0.043,
2002-10,0.044,
2002-11,0.045,
2002-12,0.047,
2003-01,0.028,
2003-02,0.030,
2003-03,0.033,
2003-04,0.031,
2003-05,0.031,
2003-06,0.033,
2003-07,0.119,
2003-08,0.117,
2003-09,0.141,
2003-10,0.140,
2003-11,0.205,
2003-12,0.194,
2004-01,0.179,
2004-02,0.176,
2004-03,0.251,
2004-04,0.233,
2004-05,0.268,
2004-06,0.252,
2004-07,0.175,
2004-08,0.161,
2004-09,0.158,
2004-10,0.141,
2004-11,0.240,
2004-12,0.210,
2005-01,0.154,
2005-02,0.192,
2005-03,0.193,
2005-04,0.175,
2005-05,0.206,
2005-06,0.129,
2005-07,0.070,
2005-08,0.120,
2005-09,0.166,
2005-10,0.098,
2005-11,0.215,
2005-12,0.124,
2006-01,0.057,
2006-02,0.051,
2006-03,0.067,
2006-04,0.037,
2006-05,0.060,
2006-06,0.202,
2006-07,0.106,
2006-08,0.176,
2006-09,0.250,
2006-10,0.218,
2006-11,0.227,
2006-12,0.975,
2007-01,0.937,
2007-02,0.999,
2007-03,1.194,
2007-04,1.139,
2007-05,1.146,
2007-06,1.129,
2007-07,1.046,
2007-08,1.109,
2007-09,1.082,
2007-10,1.131,
2007-11,1.473,
2007-12,1.060,
2008-01,0.193,
2008-02,0.214,
2008-03,0.352,
2008-04,0.256,
2008-05,0.258,
2008-06,0.206,
2008-07,0.192,
2008-08,0.227,
2008-09,0.266,
2008-10,0.271,
2008-11,0.219,
2008-12,0.497,
2009-01,0.444,
2009-02,0.651,
2009-03,0.658,
2009-04,0.645,
2009-05,0.644,
2009-06,0.649,
2009-07,0.625,
2009-08,0.658,
2009-09,0.658,
2009-10,0.651,
2009-11,0.651,
2009-12,0.565,
2010-01,0.544,
2010-02,0.538,
2010-03,0.598,
2010-04,0.494,
2010-05,0.450,
2010-06,0.471,
2010-07,0.467,
2010-08,0.523,
2010-09,0.649,
2010-10,0.683,
2010-11,0.812,
2010-12,0.921,
2011-01,0.940,
2011-02,1.018,
2011-03,1.071,
2011-04,1.348,
2011-05,1.449,
2011-06,1.542,
2011-07,1.623,
2011-08,1.650,
2011-09,1.736,
2011-10,2.444,
2011-11,2.751,
2011-12,2.641,
2012-01,2.640,
2012-02,2.715,
2012-03,2.448,
2012-04,2.463,
2012-05,2.457,
2012-06,2.640,
2012-07,2.814,
2012-08,3.041,
2012-09,3.184,
2012-10,3.313,
2012-11,3.543,
2012-12,2.917,
2013-01,3.001,
2013-02,3.126,
2013-03,2.871,
2013-04,2.734,
2013-05,2.421,
2013-06,2.438,
2013-07,2.313,
2013-08,2.493,
2013-09,2.479,
2013-10,2.357,
2013-11,2.575,
2013-12,2.515,
2014-01,2.706,
2014-02,2.466,
2014-03,2.342,
2014-04,2.180,
2014-05,2.260,
2014-06,2.276,
2014-07,2.307,
2014-08,2.456,
2014-09,2.183,
2014-10,2.085,
2014-11,2.054,
2014-12,2.112,
