"",BBK01.OECI04I,BBK01.OECI04I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:39,
2002-01,5.721,
2002-04,5.336,
2002-07,4.462,
2002-10,4.778,
2003-01,5.381,
2003-04,4.755,
2003-07,4.308,
2003-10,3.810,
2004-01,3.283,
2004-04,2.726,
2004-07,2.144,
2004-10,2.413,
2005-01,2.561,
2005-04,2.269,
2005-07,2.187,
2005-10,2.614,
2006-01,3.151,
2006-04,4.231,
2006-07,4.096,
2006-10,3.789,
2007-01,3.786,
2007-04,4.117,
2007-07,4.519,
2007-10,6.021,
2008-01,5.570,
2008-04,6.080,
2008-07,6.141,
2008-10,6.305,
2009-01,5.404,
2009-04,5.732,
2009-07,4.830,
2009-10,3.465,
2010-01,4.586,
2010-04,3.772,
2010-07,3.935,
2010-10,2.373,
2011-01,3.573,
2011-04,3.370,
2011-07,3.911,
2011-10,3.197,
2012-01,3.759,
2012-04,4.589,
2012-07,3.187,
2012-10,1.712,
2013-01,3.337,
2013-04,5.388,
2013-07,4.344,
2013-10,3.211,
2014-01,3.674,
2014-04,4.020,
2014-07,3.417,
