"",BBK01.OEAF08T,BBK01.OEAF08T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:10:05,
2002-01,0.104,
2002-04,0.103,
2002-07,0.108,
2002-10,0.111,
2003-01,0.113,
2003-04,0.112,
2003-07,0.106,
2003-10,0.105,
2004-01,0.111,
2004-04,0.089,
2004-07,0.084,
2004-10,0.114,
2005-01,0.097,
2005-04,0.090,
2005-07,0.095,
2005-10,0.091,
2006-01,0.089,
2006-04,0.087,
2006-07,0.102,
2006-10,0.086,
2007-01,0.089,
2007-04,0.086,
2007-07,0.090,
2007-10,0.092,
2008-01,0.095,
2008-04,0.092,
2008-07,0.092,
2008-10,0.092,
2009-01,0.089,
2009-04,0.093,
2009-07,0.093,
2009-10,0.089,
2010-01,0.091,
2010-04,0.089,
2010-07,0.088,
2010-10,0.087,
2011-01,0.112,
2011-04,0.117,
2011-07,0.132,
2011-10,0.136,
2012-01,0.136,
2012-04,0.138,
2012-07,0.134,
2012-10,0.144,
2013-01,0.131,
2013-04,0.135,
2013-07,0.138,
2013-10,0.138,
2014-01,0.138,
2014-04,0.140,
2014-07,0.135,
