"",BBK01.OEAH47U,BBK01.OEAH47U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:31:28,
2002-01,0.007,
2002-04,0.007,
2002-07,0.005,
2002-10,0.005,
2003-01,0.006,
2003-04,0.006,
2003-07,0.004,
2003-10,0.005,
2004-01,0.006,
2004-04,0.007,
2004-07,0.008,
2004-10,0.005,
2005-01,0.007,
2005-04,0.008,
2005-07,0.008,
2005-10,0.007,
2006-01,0.006,
2006-04,0.008,
2006-07,0.009,
2006-10,0.010,
2007-01,0.012,
2007-04,0.014,
2007-07,0.015,
2007-10,0.018,
2008-01,0.020,
2008-04,0.021,
2008-07,0.022,
2008-10,0.025,
2009-01,0.028,
2009-04,0.031,
2009-07,0.031,
2009-10,0.029,
2010-01,0.029,
2010-04,0.025,
2010-07,0.025,
2010-10,0.026,
2011-01,0.027,
2011-04,0.028,
2011-07,0.029,
2011-10,0.036,
2012-01,0.054,
2012-04,0.045,
2012-07,0.053,
2012-10,0.048,
2013-01,0.042,
2013-04,0.042,
2013-07,0.023,
2013-10,0.024,
2014-01,0.026,
2014-04,0.022,
2014-07,0.021,
