"",BBK01.OEAA06K,BBK01.OEAA06K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:16:55,
2002-01,14.594,
2002-04,14.301,
2002-07,14.367,
2002-10,16.927,
2003-01,17.466,
2003-04,18.484,
2003-07,19.934,
2003-10,18.888,
2004-01,18.912,
2004-04,20.866,
2004-07,21.013,
2004-10,18.352,
2005-01,17.428,
2005-04,16.857,
2005-07,17.722,
2005-10,17.598,
2006-01,17.071,
2006-04,16.765,
2006-07,17.405,
2006-10,17.669,
2007-01,16.572,
2007-04,18.680,
2007-07,19.598,
2007-10,20.329,
2008-01,21.302,
2008-04,23.110,
2008-07,26.113,
2008-10,27.630,
2009-01,28.190,
2009-04,28.489,
2009-07,27.429,
2009-10,25.344,
2010-01,24.106,
2010-04,22.881,
2010-07,22.616,
2010-10,22.477,
2011-01,21.285,
2011-04,20.264,
2011-07,22.943,
2011-10,22.380,
2012-01,20.958,
2012-04,20.807,
2012-07,21.986,
2012-10,21.051,
2013-01,21.299,
2013-04,21.467,
2013-07,20.865,
2013-10,19.991,
2014-01,20.614,
2014-04,20.897,
2014-07,21.415,
