"",BBK01.OEGB22I,BBK01.OEGB22I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:06,
2002-01,1.037,
2002-04,0.768,
2002-07,0.626,
2002-10,0.771,
2003-01,0.313,
2003-04,0.152,
2003-07,0.165,
2003-10,0.042,
2004-01,0.092,
2004-04,0.024,
2004-07,-,Nothing exists
2004-10,-,Nothing exists
2005-01,-,Nothing exists
2005-04,0.007,
2005-07,0.382,
2005-10,0.471,
2006-01,0.396,
2006-04,0.590,
2006-07,0.571,
2006-10,1.028,
2007-01,0.930,
2007-04,0.610,
2007-07,0.703,
2007-10,0.605,
2008-01,0.798,
2008-04,0.391,
2008-07,0.226,
2008-10,0.582,
2009-01,0.712,
2009-04,0.801,
2009-07,1.198,
2009-10,1.430,
2010-01,1.555,
2010-04,0.824,
2010-07,1.035,
2010-10,0.042,
2011-01,1.005,
2011-04,0.860,
2011-07,0.169,
2011-10,0.718,
2012-01,0.786,
2012-04,0.746,
2012-07,0.853,
2012-10,0.516,
2013-01,0.487,
2013-04,0.451,
2013-07,0.174,
2013-10,0.071,
2014-01,0.169,
2014-04,0.405,
2014-07,0.109,
