"",BBK01.OEAH13M,BBK01.OEAH13M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:42,
2002-01,10.343,
2002-04,9.952,
2002-07,9.833,
2002-10,9.816,
2003-01,9.471,
2003-04,8.836,
2003-07,8.297,
2003-10,8.195,
2004-01,8.003,
2004-04,7.798,
2004-07,7.764,
2004-10,8.092,
2005-01,8.193,
2005-04,8.068,
2005-07,7.946,
2005-10,8.052,
2006-01,8.433,
2006-04,8.699,
2006-07,9.089,
2006-10,9.454,
2007-01,9.867,
2007-04,9.959,
2007-07,10.084,
2007-10,10.342,
2008-01,10.194,
2008-04,9.890,
2008-07,9.573,
2008-10,10.139,
2009-01,9.825,
2009-04,10.334,
2009-07,10.478,
2009-10,10.223,
2010-01,10.396,
2010-04,10.278,
2010-07,9.698,
2010-10,9.370,
2011-01,9.479,
2011-04,9.241,
2011-07,9.210,
2011-10,8.987,
2012-01,8.804,
2012-04,8.610,
2012-07,8.370,
2012-10,7.999,
2013-01,7.821,
2013-04,7.495,
2013-07,7.295,
2013-10,7.053,
2014-01,6.873,
2014-04,6.547,
2014-07,6.646,
