"",BBK01.OEAC53S,BBK01.OEAC53S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:22,
2002-01,0.098,
2002-04,0.099,
2002-07,0.091,
2002-10,0.091,
2003-01,0.102,
2003-04,0.081,
2003-07,0.081,
2003-10,0.082,
2004-01,0.081,
2004-04,0.079,
2004-07,0.079,
2004-10,0.078,
2005-01,0.081,
2005-04,0.082,
2005-07,0.082,
2005-10,0.080,
2006-01,0.079,
2006-04,0.081,
2006-07,0.088,
2006-10,0.084,
2007-01,0.085,
2007-04,0.085,
2007-07,0.086,
2007-10,0.091,
2008-01,0.088,
2008-04,0.099,
2008-07,0.095,
2008-10,0.091,
2009-01,0.096,
2009-04,0.103,
2009-07,0.110,
2009-10,0.167,
2010-01,0.141,
2010-04,0.143,
2010-07,0.144,
2010-10,0.123,
2011-01,0.133,
2011-04,0.147,
2011-07,0.145,
2011-10,0.148,
2012-01,0.147,
2012-04,0.158,
2012-07,0.155,
2012-10,0.251,
2013-01,0.294,
2013-04,0.264,
2013-07,0.270,
2013-10,0.268,
2014-01,0.268,
2014-04,0.274,
2014-07,0.268,
