"",BBK01.OEAD03M,BBK01.OEAD03M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:07,
2002-01,0.912,
2002-04,0.926,
2002-07,0.885,
2002-10,0.895,
2003-01,0.858,
2003-04,0.825,
2003-07,0.815,
2003-10,0.832,
2004-01,0.736,
2004-04,0.726,
2004-07,0.692,
2004-10,0.623,
2005-01,0.646,
2005-04,0.643,
2005-07,0.673,
2005-10,0.513,
2006-01,0.495,
2006-04,0.481,
2006-07,0.473,
2006-10,0.454,
2007-01,0.467,
2007-04,0.459,
2007-07,0.426,
2007-10,0.428,
2008-01,0.433,
2008-04,0.468,
2008-07,0.470,
2008-10,0.483,
2009-01,0.548,
2009-04,0.488,
2009-07,0.486,
2009-10,0.451,
2010-01,0.502,
2010-04,0.511,
2010-07,0.484,
2010-10,0.448,
2011-01,0.446,
2011-04,0.430,
2011-07,0.443,
2011-10,0.437,
2012-01,0.426,
2012-04,0.415,
2012-07,0.439,
2012-10,0.384,
2013-01,0.419,
2013-04,0.408,
2013-07,0.389,
2013-10,0.403,
2014-01,0.391,
2014-04,0.347,
2014-07,0.341,
