"",BBK01.OEAO02R,BBK01.OEAO02R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:11,
2002-01,0.783,
2002-04,0.746,
2002-07,0.705,
2002-10,0.696,
2003-01,0.877,
2003-04,0.570,
2003-07,0.648,
2003-10,0.758,
2004-01,0.877,
2004-04,0.556,
2004-07,0.586,
2004-10,0.772,
2005-01,0.775,
2005-04,0.729,
2005-07,0.579,
2005-10,0.657,
2006-01,0.832,
2006-04,0.652,
2006-07,0.667,
2006-10,0.742,
2007-01,1.046,
2007-04,0.692,
2007-07,0.746,
2007-10,0.786,
2008-01,0.937,
2008-04,0.753,
2008-07,0.739,
2008-10,1.069,
2009-01,0.923,
2009-04,0.779,
2009-07,0.791,
2009-10,0.870,
2010-01,0.780,
2010-04,0.584,
2010-07,0.523,
2010-10,0.706,
2011-01,0.775,
2011-04,0.608,
2011-07,0.548,
2011-10,0.596,
2012-01,0.701,
2012-04,0.593,
2012-07,0.555,
2012-10,0.573,
2013-01,0.643,
2013-04,0.500,
2013-07,0.464,
2013-10,0.473,
2014-01,0.499,
2014-04,0.435,
2014-07,0.515,
