"",BBK01.OEXB08S,BBK01.OEXB08S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:39:02,
2002-01,4.241,
2002-04,4.231,
2002-07,4.176,
2002-10,4.271,
2003-01,4.307,
2003-04,4.369,
2003-07,4.425,
2003-10,4.486,
2004-01,4.468,
2004-04,4.473,
2004-07,4.538,
2004-10,4.658,
2005-01,4.679,
2005-04,4.781,
2005-07,4.762,
2005-10,4.748,
2006-01,4.831,
2006-04,4.855,
2006-07,4.920,
2006-10,4.966,
2007-01,5.002,
2007-04,5.051,
2007-07,5.134,
2007-10,5.336,
2008-01,5.269,
2008-04,5.262,
2008-07,5.298,
2008-10,5.365,
2009-01,5.404,
2009-04,5.454,
2009-07,5.568,
2009-10,5.685,
2010-01,5.706,
2010-04,5.728,
2010-07,5.921,
2010-10,6.047,
2011-01,6.146,
2011-04,6.250,
2011-07,6.381,
2011-10,6.554,
2012-01,6.620,
2012-04,6.700,
2012-07,6.791,
2012-10,6.850,
2013-01,6.921,
2013-04,6.919,
2013-07,6.967,
2013-10,7.010,
2014-01,6.978,
2014-04,6.907,
2014-07,6.965,
