"",BBFB1.Q.N.DE.IE.S1.S1.T.B.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.IE.S1.S1.T.B.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Balance / Ireland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:28:42,
1991-01,-40.712,
1991-04,-50.708,
1991-07,-66.930,
1991-10,-86.918,
1992-01,-32.855,
1992-04,-58.169,
1992-07,-66.316,
1992-10,-78.251,
1993-01,-31.728,
1993-04,-85.169,
1993-07,-90.188,
1993-10,-107.917,
1994-01,-31.246,
1994-04,-60.604,
1994-07,-79.263,
1994-10,-110.574,
1995-01,-46.746,
1995-04,-65.795,
1995-07,-53.128,
1995-10,-72.052,
1996-01,-26.967,
1996-04,-72.790,
1996-07,-104.201,
1996-10,-13.000,
1997-01,-23.115,
1997-04,-50.259,
1997-07,-6.287,
1997-10,-71.898,
1998-01,41.918,
1998-04,-2.479,
1998-07,20.685,
1998-10,-23.414,
1999-01,102.848,
1999-04,93.370,
1999-07,80.596,
1999-10,-25.864,
2000-01,91.904,
2000-04,87.500,
2000-07,-89.302,
2000-10,-100.280,
2001-01,-14.657,
2001-04,-51.195,
2001-07,16.079,
2001-10,-83.763,
2002-01,148.377,
2002-04,115.152,
2002-07,-22.667,
2002-10,161.581,
2003-01,218.082,
2003-04,174.410,
2003-07,102.649,
2003-10,125.666,
2004-01,275.827,
2004-04,188.455,
2004-07,131.140,
2004-10,167.831,
2005-01,35.881,
2005-04,85.580,
2005-07,85.118,
2005-10,110.254,
2006-01,47.701,
2006-04,109.674,
2006-07,4.843,
2006-10,193.411,
2007-01,103.560,
2007-04,-84.177,
2007-07,-66.856,
2007-10,329.338,
2008-01,115.750,
2008-04,168.689,
2008-07,28.115,
2008-10,11.345,
2009-01,-79.607,
2009-04,-35.675,
2009-07,0.188,
2009-10,230.708,
2010-01,-22.611,
2010-04,-155.728,
2010-07,-311.547,
2010-10,-288.499,
2011-01,-619.738,
2011-04,-552.589,
2011-07,-591.007,
2011-10,-471.061,
2012-01,-795.750,
2012-04,-630.358,
2012-07,-878.882,
2012-10,-462.645,
2013-01,-1072.903,
2013-04,-1415.440,
2013-07,-1042.854,
2013-10,-586.098,
2014-01,-1206.034,Provisional value
2014-04,-949.129,Provisional value
2014-07,-973.134,Provisional value
