"",BBK01.OEHO02R,BBK01.OEHO02R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:19,
2002-01,0.445,
2002-04,0.415,
2002-07,0.344,
2002-10,0.363,
2003-01,0.502,
2003-04,0.287,
2003-07,0.323,
2003-10,0.448,
2004-01,0.514,
2004-04,0.302,
2004-07,0.290,
2004-10,0.369,
2005-01,0.345,
2005-04,0.268,
2005-07,0.261,
2005-10,0.316,
2006-01,0.386,
2006-04,0.281,
2006-07,0.290,
2006-10,0.336,
2007-01,0.412,
2007-04,0.270,
2007-07,0.273,
2007-10,0.325,
2008-01,0.345,
2008-04,0.303,
2008-07,0.279,
2008-10,0.385,
2009-01,0.368,
2009-04,0.349,
2009-07,0.326,
2009-10,0.405,
2010-01,0.321,
2010-04,0.277,
2010-07,0.245,
2010-10,0.323,
2011-01,0.305,
2011-04,0.263,
2011-07,0.221,
2011-10,0.262,
2012-01,0.268,
2012-04,0.288,
2012-07,0.243,
2012-10,0.243,
2013-01,0.267,
2013-04,0.210,
2013-07,0.207,
2013-10,0.210,
2014-01,0.232,
2014-04,0.209,
2014-07,0.204,
