"",BBK01.OEYB19H,BBK01.OEYB19H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:36,
2002-01,0.789,
2002-04,0.527,
2002-07,0.471,
2002-10,0.407,
2003-01,0.378,
2003-04,0.336,
2003-07,0.313,
2003-10,0.341,
2004-01,0.342,
2004-04,0.331,
2004-07,0.308,
2004-10,0.282,
2005-01,0.280,
2005-04,0.266,
2005-07,0.263,
2005-10,0.262,
2006-01,0.241,
2006-04,0.219,
2006-07,0.216,
2006-10,0.218,
2007-01,0.203,
2007-04,0.223,
2007-07,0.220,
2007-10,0.242,
2008-01,0.246,
2008-04,0.215,
2008-07,0.203,
2008-10,0.175,
2009-01,0.163,
2009-04,0.150,
2009-07,0.154,
2009-10,0.155,
2010-01,0.148,
2010-04,0.141,
2010-07,0.131,
2010-10,0.148,
2011-01,0.151,
2011-04,0.128,
2011-07,0.133,
2011-10,0.145,
2012-01,0.143,
2012-04,0.129,
2012-07,0.125,
2012-10,0.084,
2013-01,0.077,
2013-04,0.079,
2013-07,0.089,
2013-10,0.082,
2014-01,0.079,
2014-04,0.067,
2014-07,0.064,
