"",BBK01.TSD432,BBK01.TSD432_FLAGS
"",Deposits of non-MFIs / Total / Overnight / Domestic / Outstanding amounts at the end of the month (stocks) / Seasonally adjusted,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-27 09:16:41,
1999-01,374.7,
1999-02,378.6,
1999-03,379.6,
1999-04,387.1,
1999-05,393.5,
1999-06,400.9,
1999-07,403.7,
1999-08,406.7,
1999-09,410.4,
1999-10,410.8,
1999-11,413.6,
1999-12,402.6,
2000-01,421.8,
2000-02,430.3,
2000-03,431.7,
2000-04,438.3,
2000-05,431.1,
2000-06,425.9,
2000-07,424.3,
2000-08,423.7,
2000-09,419.6,
2000-10,421.5,
2000-11,424.3,
2000-12,425.1,
2001-01,430.7,
2001-02,442.6,
2001-03,445.5,
2001-04,450.3,
2001-05,455.3,
2001-06,462.0,
2001-07,462.9,
2001-08,473.0,
2001-09,485.5,
2001-10,489.7,
2001-11,496.8,
2001-12,505.4,
2002-01,510.4,
2002-02,509.6,
2002-03,511.2,
2002-04,516.2,
2002-05,526.7,
2002-06,533.5,
2002-07,537.6,
2002-08,538.6,
2002-09,543.2,
2002-10,548.5,
2002-11,558.6,
2002-12,568.5,
2003-01,562.3,
2003-02,567.7,
2003-03,577.9,
2003-04,587.1,
2003-05,591.0,
2003-06,603.9,
2003-07,599.9,
2003-08,607.1,
2003-09,613.8,
2003-10,617.3,
2003-11,618.0,
2003-12,617.0,
2004-01,628.1,
2004-02,629.4,
2004-03,634.4,
2004-04,641.8,
2004-05,638.9,
2004-06,638.8,
2004-07,639.2,
2004-08,647.1,
2004-09,651.8,
2004-10,653.6,
2004-11,659.4,
2004-12,640.1,
2005-01,661.8,
2005-02,666.3,
2005-03,672.5,
2005-04,675.9,
2005-05,684.0,
2005-06,688.4,
2005-07,699.2,
2005-08,708.9,
2005-09,708.7,
2005-10,712.5,
2005-11,709.4,
2005-12,710.4,
2006-01,714.4,
2006-02,712.1,
2006-03,720.9,
2006-04,725.8,
2006-05,735.6,
2006-06,732.4,
2006-07,732.6,
2006-08,732.7,
2006-09,727.8,
2006-10,722.1,
2006-11,728.0,
2006-12,740.5,
2007-01,742.4,
2007-02,742.5,
2007-03,746.0,
2007-04,746.4,
2007-05,751.6,
2007-06,758.0,
2007-07,771.6,
2007-08,768.1,
2007-09,772.9,
2007-10,764.3,
2007-11,771.1,
2007-12,764.3,
2008-01,765.9,
2008-02,765.3,
2008-03,769.1,
2008-04,762.2,
2008-05,761.4,
2008-06,766.3,
2008-07,751.3,
2008-08,755.5,
2008-09,764.3,
2008-10,791.3,
2008-11,789.7,
2008-12,806.1,
2009-01,852.4,
2009-02,878.6,
2009-03,882.6,
2009-04,898.7,
2009-05,897.1,
2009-06,918.1,
2009-07,928.4,
2009-08,940.2,
2009-09,962.0,
2009-10,986.1,
2009-11,988.3,
2009-12,989.0,
2010-01,1018.7,
2010-02,1022.2,
2010-03,1015.9,
2010-04,1047.5,
2010-05,1061.5,
2010-06,1068.5,
2010-07,1068.9,
2010-08,1075.9,
2010-09,1075.4,
2010-10,1072.4,
2010-11,1077.7,
2010-12,1080.9,
2011-01,1092.4,
2011-02,1082.5,
2011-03,1093.2,
2011-04,1093.2,
2011-05,1094.4,
2011-06,1099.5,
2011-07,1101.9,
2011-08,1118.4,
2011-09,1121.4,
2011-10,1124.3,
2011-11,1134.2,
2011-12,1135.2,
2012-01,1140.3,
2012-02,1147.2,
2012-03,1163.4,
2012-04,1171.4,
2012-05,1186.2,
2012-06,1204.7,
2012-07,1217.1,
2012-08,1228.3,
2012-09,1246.7,
2012-10,1269.2,
2012-11,1274.6,
2012-12,1283.3,
2013-01,1298.0,
2013-02,1308.0,
2013-03,1316.6,
2013-04,1327.7,
2013-05,1338.5,
2013-06,1347.2,
2013-07,1362.6,
2013-08,1373.8,
2013-09,1380.7,
2013-10,1387.4,
2013-11,1389.7,
2013-12,1396.1,
2014-01,1403.7,
2014-02,1414.8,
2014-03,1419.8,
2014-04,1433.9,
2014-05,1443.8,
2014-06,1442.5,
2014-07,1458.7,
2014-08,1471.9,
2014-09,1479.0,
2014-10,1489.7,
2014-11,1491.3,
2014-12,1505.1,Provisional value
2015-01,1523.1,
