"",BBK01.TQ7001,BBK01.TQ7001_FLAGS
"",Deposit takers - Regulatory capital to risk weighted assets FSI-I001,
unit,PC (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-23 10:05:20,
2005-10,12.15,
2006-01,.,No value available
2006-04,.,No value available
2006-07,.,No value available
2006-10,12.46,
2007-01,.,No value available
2007-04,.,No value available
2007-07,.,No value available
2007-10,.,No value available
2008-01,.,No value available
2008-04,.,No value available
2008-07,.,No value available
2008-10,13.59,
2009-01,13.54,
2009-04,14.41,
2009-07,14.63,
2009-10,14.82,
2010-01,14.65,
2010-04,14.71,
2010-07,15.23,
2010-10,16.10,
2011-01,16.62,
2011-04,17.07,
2011-07,16.91,
2011-10,16.40,
2012-01,16.70,
2012-04,17.03,
2012-07,17.34,
2012-10,17.94,
2013-01,17.91,
2013-04,18.91,
2013-07,19.08,
2013-10,19.16,
2014-01,16.98,
2014-04,17.68,
2014-07,17.71,
