"",BBSF2.M.1.P.00000.GEM01.I.F.SVB.Z5.00000.F33200.Z01.M1,BBSF2.M.1.P.00000.GEM01.I.F.SVB.Z5.00000.F33200.Z01.M1_FLAGS
"",Public funds / Mixed securities funds / Long-term debt securities,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:52,
2009-09,9481,
2009-10,9457,
2009-11,9731,
2009-12,9955,
2010-01,10463,
2010-02,11002,
2010-03,11687,
2010-04,11818,
2010-05,12432,
2010-06,12818,
2010-07,13320,
2010-08,13890,
2010-09,14001,
2010-10,14200,
2010-11,14257,
2010-12,13943,
2011-01,13941,
2011-02,14122,
2011-03,14108,
2011-04,13919,
2011-05,13977,
2011-06,13753,
2011-07,14059,
2011-08,13715,
2011-09,13202,
2011-10,13229,
2011-11,12786,
2011-12,12325,
2012-01,12801,
2012-02,13170,
2012-03,13086,
2012-04,13404,
2012-05,13583,
2012-06,13247,
2012-07,13485,
2012-08,13522,
2012-09,13662,
2012-10,13621,
2012-11,13858,
2012-12,13706,
2013-01,14015,
2013-02,14222,
2013-03,14454,
2013-04,14598,
2013-05,14571,
2013-06,14777,
2013-07,14826,
2013-08,14929,
2013-09,15009,
2013-10,14891,
2013-11,14722,
2013-12,14911,
2014-01,15421,
2014-02,15787,
2014-03,16090,
2014-04,16521,
2014-05,16962,
2014-06,17319,
2014-07,17604,
2014-08,20496,
2014-09,20359,
2014-10,20726,
2014-11,21367,
