"",BBFB1.Q.N.DE.B5.S1.S1.T.A.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.B5.S1.S1.T.A.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / EU28 (fixed composition),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:40:22,
1991-01,3462.332,
1991-04,3066.975,
1991-07,3486.834,
1991-10,5901.798,
1992-01,2376.655,
1992-04,2078.107,
1992-07,3102.669,
1992-10,3673.036,
1993-01,2550.084,
1993-04,1864.549,
1993-07,2726.726,
1993-10,3985.516,
1994-01,3032.314,
1994-04,3266.793,
1994-07,1737.056,
1994-10,3492.395,
1995-01,6947.079,
1995-04,3558.653,
1995-07,2492.944,
1995-10,6309.090,
1996-01,8262.415,
1996-04,5525.001,
1996-07,3731.142,
1996-10,9090.238,
1997-01,3719.582,
1997-04,8420.005,
1997-07,4017.378,
1997-10,7381.778,
1998-01,13873.300,
1998-04,13850.607,
1998-07,-573.783,
1998-10,7262.564,
1999-01,16160.149,
1999-04,18390.191,
1999-07,10532.140,
1999-10,45737.911,
2000-01,16109.172,
2000-04,33823.039,
2000-07,9554.667,
2000-10,-13252.015,
2001-01,8178.615,
2001-04,-2565.880,
2001-07,6990.951,
2001-10,9961.279,
2002-01,5189.949,
2002-04,16376.366,
2002-07,12910.056,
2002-10,1840.407,
2003-01,18484.986,
2003-04,5460.565,
2003-07,-1575.994,
2003-10,6355.814,
2004-01,-4031.093,
2004-04,2763.985,
2004-07,2266.933,
2004-10,-6284.637,
2005-01,12961.936,
2005-04,11923.570,
2005-07,11201.383,
2005-10,19979.422,
2006-01,24376.226,
2006-04,10809.667,
2006-07,25675.129,
2006-10,22786.665,
2007-01,10671.892,
2007-04,19222.692,
2007-07,18773.876,
2007-10,-3995.421,
2008-01,30802.934,
2008-04,14883.206,
2008-07,6058.742,
2008-10,12420.450,
2009-01,17442.351,
2009-04,14906.776,
2009-07,10728.762,
2009-10,18684.242,
2010-01,25369.626,
2010-04,21681.760,
2010-07,3043.895,
2010-10,19151.734,
2011-01,23020.472,
2011-04,15814.977,
2011-07,10943.215,
2011-10,2835.333,
2012-01,27219.024,
2012-04,16305.442,
2012-07,21625.517,
2012-10,13709.596,
2013-01,15864.246,
2013-04,15573.547,
2013-07,2496.298,
2013-10,927.819,
2014-01,22139.540,Provisional value
2014-04,15402.205,Provisional value
2014-07,19686.482,Provisional value
2014-10,11009.270,Provisional value
