"",BBK01.OEBI06U,BBK01.OEBI06U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:50,
2002-01,0.074,
2002-04,0.073,
2002-07,0.061,
2002-10,0.053,
2003-01,0.052,
2003-04,0.048,
2003-07,0.042,
2003-10,0.039,
2004-01,0.042,
2004-04,0.037,
2004-07,0.037,
2004-10,0.037,
2005-01,0.045,
2005-04,0.046,
2005-07,0.044,
2005-10,0.042,
2006-01,0.043,
2006-04,0.045,
2006-07,0.052,
2006-10,0.056,
2007-01,0.062,
2007-04,0.064,
2007-07,0.068,
2007-10,0.079,
2008-01,0.091,
2008-04,0.106,
2008-07,0.111,
2008-10,0.120,
2009-01,0.129,
2009-04,0.112,
2009-07,0.105,
2009-10,0.102,
2010-01,0.106,
2010-04,0.129,
2010-07,0.143,
2010-10,0.152,
2011-01,0.164,
2011-04,0.203,
2011-07,0.216,
2011-10,0.222,
2012-01,0.228,
2012-04,0.236,
2012-07,0.233,
2012-10,0.214,
2013-01,0.187,
2013-04,0.173,
2013-07,0.184,
2013-10,0.202,
2014-01,0.231,
2014-04,0.286,
2014-07,0.315,
