"",BBK01.OEAO01O,BBK01.OEAO01O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:28,
2002-01,5.392,
2002-04,4.529,
2002-07,3.805,
2002-10,1.359,
2003-01,0.190,
2003-04,-0.667,
2003-07,-1.254,
2003-10,-2.992,
2004-01,-4.028,
2004-04,-4.618,
2004-07,-5.195,
2004-10,-5.476,
2005-01,31.337,
2005-04,31.790,
2005-07,31.484,
2005-10,31.108,
2006-01,31.396,
2006-04,30.999,
2006-07,30.728,
2006-10,30.204,
2007-01,29.956,
2007-04,29.012,
2007-07,28.160,
2007-10,27.024,
2008-01,26.682,
2008-04,25.921,
2008-07,25.118,
2008-10,24.052,
2009-01,24.095,
2009-04,24.633,
2009-07,25.779,
2009-10,26.994,
2010-01,28.211,
2010-04,28.975,
2010-07,29.156,
2010-10,29.341,
2011-01,29.806,
2011-04,29.879,
2011-07,29.719,
2011-10,29.447,
2012-01,29.528,
2012-04,29.471,
2012-07,29.206,
2012-10,28.907,
2013-01,28.811,
2013-04,28.524,
2013-07,28.298,
2013-10,28.030,
2014-01,28.372,
2014-04,28.139,
2014-07,27.900,
