"",BBSF2.M.1.T.00000.TOT01.I.F.SVG.U2.00013.F03300.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.SVG.U2.00013.F03300.Z01.00_FLAGS
"",Funds total / Funds total / Debt securities total / Euro area (changing composition) / General Government,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:07,
2009-09,175522,
2009-10,177015,
2009-11,180208,
2009-12,183563,
2010-01,185970,
2010-02,189652,
2010-03,193057,
2010-04,193652,
2010-05,196125,
2010-06,194944,
2010-07,197111,
2010-08,202826,
2010-09,199701,
2010-10,197941,
2010-11,191969,
2010-12,191015,
2011-01,185335,
2011-02,185298,
2011-03,182489,
2011-04,181162,
2011-05,181690,
2011-06,179371,
2011-07,181726,
2011-08,186045,
2011-09,187315,
2011-10,184040,
2011-11,178720,
2011-12,184617,
2012-01,179100,
2012-02,182537,
2012-03,178525,
2012-04,178874,
2012-05,182687,
2012-06,179833,
2012-07,181100,
2012-08,182258,
2012-09,180520,
2012-10,181317,
2012-11,185883,
2012-12,188671,
2013-01,188402,
2013-02,191097,
2013-03,193312,
2013-04,197371,
2013-05,195699,
2013-06,193101,
2013-07,196028,
2013-08,194405,
2013-09,194343,
2013-10,191358,
2013-11,189409,
2013-12,188279,
2014-01,193878,
2014-02,199798,
2014-03,201616,
2014-04,201632,
2014-05,205680,
2014-06,205372,
2014-07,207334,
2014-08,211647,
2014-09,210359,
2014-10,209966,
2014-11,215660,
