"",BBK01.OEXJ05K,BBK01.OEXJ05K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:49,
2002-01,1.727,
2002-04,1.775,
2002-07,1.834,
2002-10,1.775,
2003-01,1.772,
2003-04,1.784,
2003-07,1.760,
2003-10,2.085,
2004-01,1.863,
2004-04,1.885,
2004-07,1.780,
2004-10,0.234,
2005-01,0.245,
2005-04,0.241,
2005-07,0.219,
2005-10,0.215,
2006-01,0.213,
2006-04,0.207,
2006-07,0.220,
2006-10,0.221,
2007-01,0.227,
2007-04,0.237,
2007-07,0.240,
2007-10,0.222,
2008-01,0.217,
2008-04,0.354,
2008-07,0.360,
2008-10,0.356,
2009-01,0.510,
2009-04,0.525,
2009-07,0.470,
2009-10,0.562,
2010-01,0.632,
2010-04,0.611,
2010-07,0.732,
2010-10,0.810,
2011-01,0.795,
2011-04,0.785,
2011-07,0.778,
2011-10,0.791,
2012-01,0.775,
2012-04,0.758,
2012-07,0.767,
2012-10,0.715,
2013-01,0.697,
2013-04,0.689,
2013-07,0.678,
2013-10,0.724,
2014-01,0.706,
2014-04,0.690,
2014-07,0.668,
