"",BBK01.BJ2931,BBK01.BJ2931_FLAGS
"","Central, state and local government - budgetary accounts (Germany as a whole) - personnel expenditure",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-16 16:35:03,
1991,133542,
1992,146058,
1993,151772,
1994,161315,
1995,166063,
1996,166770,
1997,166175,
1998,166394,
1999,168712,
2000,169270,
2001,169943,
2002,173281,
2003,173978,
2004,173441,
2005,172120,
2006,169738,
2007,176533,
2008,180215,
2009,187072,
2010,190697,
2011,194274,Provisional value
2012,217844,Provisional value
2013,224327,Provisional value
"",General: For Germany as a whole (excluding hospitals with commercial accounting practices),
