"",BBK01.OECI04G,BBK01.OECI04G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:39,
2002-01,4.676,
2002-04,4.632,
2002-07,4.861,
2002-10,4.799,
2003-01,4.386,
2003-04,4.221,
2003-07,3.783,
2003-10,3.692,
2004-01,3.243,
2004-04,3.591,
2004-07,3.346,
2004-10,3.268,
2005-01,3.131,
2005-04,3.150,
2005-07,3.558,
2005-10,4.135,
2006-01,3.369,
2006-04,3.590,
2006-07,3.636,
2006-10,4.587,
2007-01,4.954,
2007-04,5.454,
2007-07,6.319,
2007-10,7.084,
2008-01,7.212,
2008-04,7.778,
2008-07,8.795,
2008-10,8.826,
2009-01,7.720,
2009-04,7.828,
2009-07,6.508,
2009-10,4.715,
2010-01,3.972,
2010-04,3.728,
2010-07,4.074,
2010-10,3.477,
2011-01,3.587,
2011-04,3.749,
2011-07,3.939,
2011-10,4.779,
2012-01,4.881,
2012-04,5.322,
2012-07,5.050,
2012-10,4.174,
2013-01,4.020,
2013-04,4.169,
2013-07,4.133,
2013-10,4.250,
2014-01,4.279,
2014-04,4.502,
2014-07,4.484,
