"",BBK01.OELB09R,BBK01.OELB09R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:38:08,
2002-01,0.318,
2002-04,0.320,
2002-07,0.317,
2002-10,0.311,
2003-01,0.314,
2003-04,0.324,
2003-07,0.319,
2003-10,0.310,
2004-01,0.316,
2004-04,0.320,
2004-07,0.325,
2004-10,0.303,
2005-01,0.304,
2005-04,0.308,
2005-07,0.303,
2005-10,0.292,
2006-01,0.295,
2006-04,0.343,
2006-07,0.347,
2006-10,0.332,
2007-01,0.339,
2007-04,0.361,
2007-07,0.368,
2007-10,0.363,
2008-01,0.363,
2008-04,0.363,
2008-07,0.372,
2008-10,0.385,
2009-01,0.400,
2009-04,0.419,
2009-07,0.423,
2009-10,0.440,
2010-01,0.452,
2010-04,0.462,
2010-07,0.467,
2010-10,0.455,
2011-01,0.472,
2011-04,0.487,
2011-07,0.480,
2011-10,0.463,
2012-01,0.472,
2012-04,0.511,
2012-07,0.528,
2012-10,0.545,
2013-01,0.551,
2013-04,0.568,
2013-07,0.585,
2013-10,0.599,
2014-01,0.606,
2014-04,0.624,
2014-07,0.629,
