"",BBK01.OEAK03G,BBK01.OEAK03G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:07:17,
2002-01,4.103,
2002-04,4.045,
2002-07,4.150,
2002-10,4.140,
2003-01,3.863,
2003-04,3.702,
2003-07,3.387,
2003-10,3.283,
2004-01,3.089,
2004-04,2.990,
2004-07,2.985,
2004-10,2.967,
2005-01,2.623,
2005-04,2.564,
2005-07,2.721,
2005-10,2.840,
2006-01,2.869,
2006-04,2.955,
2006-07,3.095,
2006-10,3.248,
2007-01,3.366,
2007-04,3.473,
2007-07,3.964,
2007-10,4.753,
2008-01,4.839,
2008-04,5.267,
2008-07,5.548,
2008-10,5.827,
2009-01,4.260,
2009-04,3.726,
2009-07,3.000,
2009-10,2.470,
2010-01,2.174,
2010-04,1.940,
2010-07,1.979,
2010-10,2.025,
2011-01,2.071,
2011-04,2.117,
2011-07,2.237,
2011-10,2.308,
2012-01,2.095,
2012-04,1.931,
2012-07,1.713,
2012-10,1.586,
2013-01,1.528,
2013-04,1.442,
2013-07,1.427,
2013-10,1.363,
2014-01,1.305,
2014-04,1.381,
2014-07,1.575,
