"",BBK01.OELB23M,BBK01.OELB23M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:14,
2002-01,0.009,
2002-04,0.008,
2002-07,0.009,
2002-10,0.008,
2003-01,0.009,
2003-04,0.011,
2003-07,0.015,
2003-10,0.012,
2004-01,0.016,
2004-04,0.025,
2004-07,0.021,
2004-10,0.028,
2005-01,0.027,
2005-04,0.022,
2005-07,0.024,
2005-10,0.028,
2006-01,0.029,
2006-04,0.027,
2006-07,0.025,
2006-10,0.033,
2007-01,0.038,
2007-04,0.027,
2007-07,0.034,
2007-10,0.037,
2008-01,0.037,
2008-04,0.031,
2008-07,0.030,
2008-10,0.022,
2009-01,0.039,
2009-04,0.021,
2009-07,0.026,
2009-10,0.047,
2010-01,0.007,
2010-04,0.057,
2010-07,0.006,
2010-10,0.005,
2011-01,0.005,
2011-04,0.006,
2011-07,0.002,
2011-10,0.055,
2012-01,0.057,
2012-04,0.037,
2012-07,0.037,
2012-10,0.042,
2013-01,0.043,
2013-04,0.042,
2013-07,0.021,
2013-10,0.028,
2014-01,0.016,
2014-04,0.016,
2014-07,0.014,
