"",BBK01.CE3K02,BBK01.CE3K02_FLAGS
"",Net financial assets debtor: All sectors                   creditor: Domestic financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:18:46,
1991-01,-156.4,
1991-04,-166.5,
1991-07,-155.3,
1991-10,-0.5,
1992-01,-187.8,
1992-04,-197.8,
1992-07,-173.8,
1992-10,-16.6,
1993-01,-206.4,
1993-04,-88.2,
1993-07,-78.3,
1993-10,-12.7,
1994-01,-5.1,
1994-04,-20.7,
1994-07,0.6,
1994-10,-7.0,
1995-01,-45.9,
1995-04,-54.2,
1995-07,-47.2,
1995-10,-28.7,
1996-01,-20.9,
1996-04,-12.4,
1996-07,-14.5,
1996-10,-8.7,
1997-01,-12.3,
1997-04,-5.8,
1997-07,-30.9,
1997-10,-53.9,
1998-01,-22.1,
1998-04,-33.9,
1998-07,2.6,
1998-10,-42.6,
1999-01,-112.4,
1999-04,-60.4,
1999-07,-44.8,
1999-10,2.7,
2000-01,-112.8,
2000-04,-16.7,
2000-07,-93.4,
2000-10,-171.2,
2001-01,-231.0,
2001-04,-231.1,
2001-07,-185.8,
2001-10,-167.6,
2002-01,-176.2,
2002-04,-220.5,
2002-07,-120.7,
2002-10,-110.7,
2003-01,-148.3,
2003-04,-174.1,
2003-07,-166.1,
2003-10,-166.2,
2004-01,-140.5,
2004-04,-135.0,
2004-07,-110.8,
2004-10,-106.0,
2005-01,-66.2,
2005-04,-41.5,
2005-07,-47.7,
2005-10,-37.8,
2006-01,-155.9,
2006-04,-135.2,
2006-07,-138.6,
2006-10,-138.2,
2007-01,-191.9,
2007-04,-197.2,
2007-07,-201.1,
2007-10,-201.0,
2008-01,-111.1,
2008-04,-84.6,
2008-07,-36.5,
2008-10,31.5,
2009-01,61.9,
2009-04,6.4,
2009-07,-52.3,
2009-10,-19.5,
2010-01,-24.9,
2010-04,65.2,
2010-07,92.2,
2010-10,161.4,
2011-01,87.4,
2011-04,108.6,
2011-07,238.0,
2011-10,201.0,
2012-01,178.9,
2012-04,243.6,
2012-07,275.0,
2012-10,226.9,
2013-01,238.9,
2013-04,176.8,
2013-07,168.7,
2013-10,147.6,
2014-01,216.1,
