"",BBFB1.Q.N.DE.NL.S1.S1.T.L.FA._T.F._Z._T._X.N,BBFB1.Q.N.DE.NL.S1.S1.T.L.FA._T.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Netherlands,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:42:13,
1991-01,2247.344,
1991-04,-421.520,
1991-07,1431.526,
1991-10,-266.417,
1992-01,2483.175,
1992-04,1634.610,
1992-07,2244.565,
1992-10,2010.797,
1993-01,5423.334,
1993-04,3440.705,
1993-07,2023.909,
1993-10,2998.468,
1994-01,4834.891,
1994-04,1482.611,
1994-07,689.429,
1994-10,-2085.975,
1995-01,5578.777,
1995-04,6441.937,
1995-07,2803.927,
1995-10,9205.934,
1996-01,8198.171,
1996-04,4503.872,
1996-07,4956.744,
1996-10,7119.450,
1997-01,7969.053,
1997-04,5116.639,
1997-07,7310.093,
1997-10,4163.223,
1998-01,7797.597,
1998-04,12598.843,
1998-07,2689.507,
1998-10,-71.018,
1999-01,13432.770,
1999-04,10592.351,
1999-07,8878.157,
1999-10,-6749.552,
2000-01,882.994,
2000-04,27148.774,
2000-07,38903.727,
2000-10,4199.040,
2001-01,8008.579,
2001-04,11963.036,
2001-07,12247.319,
2001-10,5036.422,
2002-01,22745.708,
2002-04,26024.512,
2002-07,4943.398,
2002-10,1272.858,
2003-01,9511.683,
2003-04,5153.516,
2003-07,7419.853,
2003-10,2255.368,
2004-01,4724.702,
2004-04,-10604.348,
2004-07,-7477.227,
2004-10,2275.387,
2005-01,7545.177,
2005-04,-12746.982,
2005-07,-12345.472,
2005-10,5307.727,
2006-01,7322.300,
2006-04,15566.024,
2006-07,5906.272,
2006-10,5966.257,
2007-01,2426.694,
2007-04,-5614.692,
2007-07,22682.114,
2007-10,-16454.057,
2008-01,3813.442,
2008-04,764.962,
2008-07,8325.998,
2008-10,-27871.161,
2009-01,26792.038,
2009-04,7066.230,
2009-07,7519.174,
2009-10,-162.924,
2010-01,2588.141,
2010-04,-4530.234,
2010-07,17082.053,
2010-10,7334.416,
2011-01,8523.143,
2011-04,8969.491,
2011-07,10629.957,
2011-10,25883.307,
2012-01,18023.535,
2012-04,16518.444,
2012-07,6810.625,
2012-10,19935.901,
2013-01,20375.680,
2013-04,29872.107,
2013-07,14056.987,
2013-10,7700.598,
2014-01,11180.127,Provisional value
2014-04,28730.574,Provisional value
2014-07,-3123.644,Provisional value
2014-10,2279.082,Provisional value
