"",BBK01.OEAH24J,BBK01.OEAH24J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:25:04,
2002-01,0.584,
2002-04,0.574,
2002-07,0.560,
2002-10,0.552,
2003-01,0.566,
2003-04,0.574,
2003-07,0.556,
2003-10,0.519,
2004-01,0.524,
2004-04,0.510,
2004-07,0.493,
2004-10,0.507,
2005-01,0.498,
2005-04,0.474,
2005-07,0.469,
2005-10,0.462,
2006-01,0.453,
2006-04,0.442,
2006-07,0.436,
2006-10,0.425,
2007-01,0.402,
2007-04,0.384,
2007-07,0.375,
2007-10,0.368,
2008-01,0.378,
2008-04,0.356,
2008-07,0.349,
2008-10,0.350,
2009-01,0.352,
2009-04,0.338,
2009-07,0.338,
2009-10,0.370,
2010-01,0.400,
2010-04,0.436,
2010-07,0.435,
2010-10,0.458,
2011-01,0.457,
2011-04,0.478,
2011-07,0.494,
2011-10,0.489,
2012-01,0.502,
2012-04,0.495,
2012-07,0.493,
2012-10,0.473,
2013-01,0.410,
2013-04,0.411,
2013-07,0.402,
2013-10,0.372,
2014-01,0.355,
2014-04,0.336,
2014-07,0.318,
