"",BBFB1.Q.N.DE.CN.S1.S1.T.B.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.CN.S1.S1.T.B.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Balance / China,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:34:04,
1991-01,-6.215,
1991-04,-4.591,
1991-07,-3.705,
1991-10,-5.426,
1992-01,-3.240,
1992-04,-6.024,
1992-07,-7.510,
1992-10,-7.332,
1993-01,-2.340,
1993-04,-3.199,
1993-07,1.154,
1993-10,-1.464,
1994-01,-2.429,
1994-04,-6.966,
1994-07,-1.151,
1994-10,0.576,
1995-01,-2.531,
1995-04,-6.017,
1995-07,-13.589,
1995-10,-13.877,
1996-01,-13.270,
1996-04,-12.820,
1996-07,-8.521,
1996-10,-15.425,
1997-01,-11.583,
1997-04,-16.250,
1997-07,-17.868,
1997-10,-5.608,
1998-01,-14.618,
1998-04,-15.688,
1998-07,-13.885,
1998-10,-15.125,
1999-01,-6.818,
1999-04,-12.065,
1999-07,-14.904,
1999-10,-31.663,
2000-01,-14.893,
2000-04,-15.817,
2000-07,-16.118,
2000-10,4.980,
2001-01,-18.468,
2001-04,-10.622,
2001-07,-28.418,
2001-10,-35.401,
2002-01,-5.863,
2002-04,-10.484,
2002-07,-17.973,
2002-10,-24.187,
2003-01,-23.328,
2003-04,28.470,
2003-07,-36.841,
2003-10,-38.702,
2004-01,-45.241,
2004-04,-32.584,
2004-07,-20.945,
2004-10,-26.395,
2005-01,-22.610,
2005-04,-22.872,
2005-07,-39.350,
2005-10,-29.190,
2006-01,-28.849,
2006-04,-31.980,
2006-07,-50.957,
2006-10,-69.439,
2007-01,-48.286,
2007-04,-39.023,
2007-07,-35.723,
2007-10,-38.338,
2008-01,-36.955,
2008-04,-40.982,
2008-07,-62.988,
2008-10,-260.207,
2009-01,-74.805,
2009-04,-50.816,
2009-07,-84.625,
2009-10,-79.202,
2010-01,-68.475,
2010-04,-124.746,
2010-07,-220.696,
2010-10,-129.037,
2011-01,-168.029,
2011-04,-128.750,
2011-07,-82.845,
2011-10,-119.925,
2012-01,-56.614,
2012-04,-181.009,
2012-07,-83.022,
2012-10,-110.689,
2013-01,-75.616,
2013-04,-131.538,
2013-07,-85.950,
2013-10,-40.635,
2014-01,-72.434,Provisional value
2014-04,-284.727,Provisional value
2014-07,-143.654,Provisional value
