"",BBK01.CEFB03,BBK01.CEFB03_FLAGS
"",long-term debt securities  debtor: Total                              creditor: MFI,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:34:27,
1999-01,906.5,
1999-04,927.5,
1999-07,907.3,
1999-10,903.8,
2000-01,940.1,
2000-04,960.6,
2000-07,985.6,
2000-10,996.2,
2001-01,1042.2,
2001-04,1061.1,
2001-07,1064.3,
2001-10,1077.8,
2002-01,1069.7,
2002-04,1083.5,
2002-07,1114.0,
2002-10,1100.7,
2003-01,1139.1,
2003-04,1165.2,
2003-07,1125.0,
2003-10,1115.9,
2004-01,1207.7,
2004-04,1204.7,
2004-07,1242.7,
2004-10,1266.8,
2005-01,1314.4,
2005-04,1389.5,
2005-07,1376.0,
2005-10,1343.3,
2006-01,1332.2,
2006-04,1320.0,
2006-07,1328.6,
2006-10,1347.8,
2007-01,1365.8,
2007-04,1355.2,
2007-07,1346.7,
2007-10,1351.5,
2008-01,1390.4,
2008-04,1369.8,
2008-07,1375.7,
2008-10,1479.0,
2009-01,1520.6,
2009-04,1529.1,
2009-07,1559.5,
2009-10,1543.2,
2010-01,1572.9,
2010-04,1586.3,
2010-07,1570.7,
2010-10,1479.4,
2011-01,1422.9,
2011-04,1419.5,
2011-07,1497.6,
2011-10,1493.3,
2012-01,1508.9,
2012-04,1531.3,
2012-07,1514.8,
2012-10,1507.7,
2013-01,1476.3,
2013-04,1443.4,
2013-07,1394.1,
2013-10,1390.2,
2014-01,1401.8,
2014-04,1415.8,
2014-07,1447.1,
