"",BBK01.WXI035,BBK01.WXI035_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:46,
2009-01,2481,
2009-02,2192,
2009-03,2066,
2009-04,2381,
2009-05,2658,
2009-06,1982,
2009-07,2076,
2009-08,2257,
2009-09,911,
2009-10,1037,
2009-11,1260,
2009-12,1405,
2010-01,1746,
2010-02,1361,
2010-03,1307,
2010-04,1245,
2010-05,2236,
2010-06,1524,
2010-07,1070,
2010-08,1430,
2010-09,1416,
2010-10,1020,
2010-11,2179,
2010-12,1397,
2011-01,1270,
2011-02,1673,
2011-03,1265,
2011-04,1885,
2011-05,1772,
2011-06,1223,
2011-07,1789,
2011-08,2035,
2011-09,2786,
2011-10,2547,
2011-11,2571,
2011-12,2543,
2012-01,2586,
2012-02,1884,
2012-03,1480,
2012-04,2230,
2012-05,4141,
2012-06,2817,
2012-07,3388,
2012-08,2684,
2012-09,2663,
2012-10,2174,
2012-11,3347,
2012-12,3040,
2013-01,3410,
2013-02,3437,
2013-03,3587,
2013-04,3222,
2013-05,3299,
2013-06,3033,
2013-07,3006,
2013-08,3720,
2013-09,3055,
2013-10,3931,
2013-11,3317,
2013-12,2357,
2014-01,3718,
2014-02,2930,
2014-03,2703,
2014-04,2800,
2014-05,3469,
2014-06,2600,
2014-07,4007,
2014-08,4488,
2014-09,4948,
2014-10,4719,
2014-11,4784,
