"",BBK01.OECI02Q,BBK01.OECI02Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:29,
2002-01,1.279,
2002-04,1.421,
2002-07,1.349,
2002-10,1.710,
2003-01,1.598,
2003-04,1.607,
2003-07,2.489,
2003-10,1.720,
2004-01,1.542,
2004-04,1.585,
2004-07,1.565,
2004-10,2.526,
2005-01,3.186,
2005-04,3.235,
2005-07,3.359,
2005-10,3.157,
2006-01,2.963,
2006-04,3.124,
2006-07,3.009,
2006-10,3.319,
2007-01,3.125,
2007-04,3.314,
2007-07,3.217,
2007-10,3.523,
2008-01,3.292,
2008-04,3.393,
2008-07,3.397,
2008-10,3.961,
2009-01,4.044,
2009-04,4.099,
2009-07,4.276,
2009-10,4.696,
2010-01,4.601,
2010-04,4.707,
2010-07,4.692,
2010-10,4.947,
2011-01,4.714,
2011-04,4.635,
2011-07,4.646,
2011-10,4.799,
2012-01,4.939,
2012-04,4.940,
2012-07,4.916,
2012-10,5.445,
2013-01,5.294,
2013-04,5.388,
2013-07,5.417,
2013-10,5.749,
2014-01,5.637,
2014-04,5.737,
2014-07,5.978,
