"",BBK01.OEYJ02H,BBK01.OEYJ02H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:05:35,
2002-01,2.026,
2002-04,2.859,
2002-07,2.266,
2002-10,2.825,
2003-01,2.250,
2003-04,2.629,
2003-07,3.384,
2003-10,3.554,
2004-01,2.068,
2004-04,2.567,
2004-07,1.903,
2004-10,2.242,
2005-01,2.044,
2005-04,2.244,
2005-07,2.255,
2005-10,2.932,
2006-01,2.726,
2006-04,2.806,
2006-07,2.618,
2006-10,3.123,
2007-01,2.359,
2007-04,4.116,
2007-07,2.827,
2007-10,2.673,
2008-01,3.008,
2008-04,3.877,
2008-07,2.949,
2008-10,2.883,
2009-01,3.558,
2009-04,3.863,
2009-07,2.443,
2009-10,5.858,
2010-01,3.322,
2010-04,3.192,
2010-07,2.983,
2010-10,2.682,
2011-01,4.558,
2011-04,4.288,
2011-07,4.522,
2011-10,4.112,
2012-01,5.377,
2012-04,7.155,
2012-07,7.374,
2012-10,7.156,
2013-01,8.128,
2013-04,9.791,
2013-07,6.017,
2013-10,5.378,
2014-01,6.107,
2014-04,5.429,
2014-07,5.576,
