"",BBFB1.Q.N.DE.GB.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N,BBFB1.Q.N.DE.GB.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N_FLAGS
"",Financial account (excl. Reserve assets) / Net domestic investment abroad / United Kingdom,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:44:03,
1991-01,3371.497,
1991-04,-4635.965,
1991-07,1690.450,
1991-10,2800.746,
1992-01,1208.113,
1992-04,-663.109,
1992-07,3216.245,
1992-10,11670.069,
1993-01,8508.311,
1993-04,9150.919,
1993-07,6385.269,
1993-10,23528.184,
1994-01,-4268.412,
1994-04,-7326.397,
1994-07,-3259.368,
1994-10,17145.224,
1995-01,-595.161,
1995-04,12210.916,
1995-07,3695.850,
1995-10,-988.054,
1996-01,-8349.399,
1996-04,5129.316,
1996-07,-2317.422,
1996-10,20755.639,
1997-01,7150.861,
1997-04,13717.113,
1997-07,6977.161,
1997-10,8150.759,
1998-01,25349.146,
1998-04,12249.893,
1998-07,-11958.332,
1998-10,-2346.408,
1999-01,23559.360,
1999-04,-10552.613,
1999-07,-1110.710,
1999-10,35294.917,
2000-01,65666.317,
2000-04,16699.292,
2000-07,9745.282,
2000-10,-28638.936,
2001-01,48065.360,
2001-04,-4271.222,
2001-07,37194.024,
2001-10,6204.872,
2002-01,-3094.000,
2002-04,21019.935,
2002-07,33633.684,
2002-10,-3253.050,
2003-01,51803.983,
2003-04,28755.166,
2003-07,-10047.272,
2003-10,18452.989,
2004-01,60921.771,
2004-04,-8652.619,
2004-07,37309.633,
2004-10,-968.062,
2005-01,56477.205,
2005-04,6065.274,
2005-07,9754.154,
2005-10,-42338.302,
2006-01,85696.932,
2006-04,25448.769,
2006-07,18571.997,
2006-10,1484.324,
2007-01,46355.954,
2007-04,33544.870,
2007-07,11004.977,
2007-10,-21621.294,
2008-01,51445.129,
2008-04,-16360.958,
2008-07,16473.051,
2008-10,-70887.552,
2009-01,-55431.417,
2009-04,15122.498,
2009-07,-37552.271,
2009-10,-6700.744,
2010-01,17356.173,
2010-04,-622.311,
2010-07,-7180.751,
2010-10,27981.150,
2011-01,735.934,
2011-04,3067.057,
2011-07,9508.839,
2011-10,-17243.640,
2012-01,22707.850,
2012-04,-9696.438,
2012-07,26801.403,
2012-10,-28124.805,
2013-01,1033.005,
2013-04,-15199.965,
2013-07,-19291.169,
2013-10,24144.414,
2014-01,25696.323,Provisional value
2014-04,5635.079,Provisional value
2014-07,2964.721,Provisional value
2014-10,-19566.171,Provisional value
