"",BBK01.OEAD37J,BBK01.OEAD37J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:29,
2002-01,0.046,
2002-04,0.045,
2002-07,0.045,
2002-10,0.048,
2003-01,0.048,
2003-04,0.050,
2003-07,0.059,
2003-10,0.060,
2004-01,0.056,
2004-04,0.054,
2004-07,0.056,
2004-10,0.058,
2005-01,0.057,
2005-04,0.060,
2005-07,0.059,
2005-10,0.065,
2006-01,0.069,
2006-04,0.070,
2006-07,0.071,
2006-10,0.072,
2007-01,0.077,
2007-04,0.081,
2007-07,0.086,
2007-10,0.092,
2008-01,0.098,
2008-04,0.101,
2008-07,0.107,
2008-10,0.100,
2009-01,0.092,
2009-04,0.096,
2009-07,0.086,
2009-10,0.085,
2010-01,0.072,
2010-04,0.083,
2010-07,0.083,
2010-10,0.082,
2011-01,0.082,
2011-04,0.072,
2011-07,0.072,
2011-10,0.072,
2012-01,0.072,
2012-04,0.071,
2012-07,0.067,
2012-10,0.048,
2013-01,0.048,
2013-04,0.046,
2013-07,0.060,
2013-10,0.056,
2014-01,0.055,
2014-04,0.053,
2014-07,0.046,
