"",BBK01.OEYB01T,BBK01.OEYB01T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:38,
2002-01,2.722,
2002-04,2.711,
2002-07,2.696,
2002-10,2.810,
2003-01,3.816,
2003-04,3.745,
2003-07,3.837,
2003-10,3.612,
2004-01,4.020,
2004-04,3.998,
2004-07,3.671,
2004-10,3.741,
2005-01,3.747,
2005-04,3.752,
2005-07,3.779,
2005-10,3.795,
2006-01,3.798,
2006-04,3.879,
2006-07,3.891,
2006-10,3.925,
2007-01,3.941,
2007-04,3.591,
2007-07,3.701,
2007-10,3.621,
2008-01,3.701,
2008-04,3.729,
2008-07,4.026,
2008-10,4.295,
2009-01,4.577,
2009-04,4.290,
2009-07,4.375,
2009-10,4.464,
2010-01,4.458,
2010-04,4.428,
2010-07,4.471,
2010-10,4.439,
2011-01,4.436,
2011-04,4.568,
2011-07,4.671,
2011-10,4.756,
2012-01,5.044,
2012-04,5.076,
2012-07,5.126,
2012-10,5.199,
2013-01,5.061,
2013-04,5.387,
2013-07,5.256,
2013-10,5.235,
2014-01,5.406,
2014-04,5.564,
2014-07,5.579,
