"",BBK01.PQK353,BBK01.PQK353_FLAGS
"",Lending to domestic enterprises and resident individuals / Long-term / Regional institutions of credit cooperatives,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:20:11,
1958-10,0.157,
1959-01,-,Nothing exists
1959-04,0.173,
1959-07,-,Nothing exists
1959-10,0.239,
1960-01,-,Nothing exists
1960-04,0.266,
1960-07,-,Nothing exists
1960-10,0.284,
1961-01,-,Nothing exists
1961-04,0.298,
1961-07,-,Nothing exists
1961-10,0.303,
1962-01,-,Nothing exists
1962-04,0.313,
1962-07,-,Nothing exists
1962-10,0.310,
1963-01,-,Nothing exists
1963-04,0.319,
1963-07,-,Nothing exists
1963-10,0.329,
1964-01,-,Nothing exists
1964-04,0.332,
1964-07,-,Nothing exists
1964-10,0.335,
1965-01,0.342,
1965-04,0.341,
1965-07,0.346,
1965-10,0.344,
1966-01,0.359,
1966-04,0.357,
1966-07,0.363,
1966-10,0.361,
1967-01,0.355,
1967-04,0.346,
1967-07,0.366,
1967-10,0.380,
1968-01,0.396,
1968-04,0.395,
1968-07,0.414,
1968-10,0.417,
1969-01,0.445,
1969-04,0.470,
1969-07,0.492,
1969-10,0.510,
1970-01,0.533,
1970-04,0.553,
1970-07,0.572,
1970-10,0.642,
1971-01,0.663,
1971-04,0.668,
1971-07,0.732,
1971-10,0.743,
1972-01,0.864,
1972-04,0.889,
1972-07,0.941,
1972-10,0.969,
1973-01,1.002,
1973-04,1.027,
1973-07,1.091,
1973-10,1.116,
1974-01,1.146,
1974-04,1.144,
1974-07,1.182,
1974-10,1.158,
1975-01,1.169,
1975-04,1.197,
1975-07,1.281,
1975-10,1.391,
1976-01,1.498,
1976-04,1.638,
1976-07,1.695,
1976-10,1.799,
1977-01,1.907,
1977-04,2.072,
1977-07,2.158,
1977-10,2.270,
1978-01,2.313,
1978-04,2.489,
1978-07,2.671,
1978-10,2.958,
1979-01,3.042,
1979-04,3.065,
1979-07,3.117,
1979-10,2.962,
1980-01,2.993,
1980-04,2.980,
1980-07,3.027,
1980-10,3.058,
1981-01,3.206,
1981-04,3.151,
1981-07,3.158,
1981-10,3.167,
1982-01,3.108,
1982-04,3.099,
1982-07,3.106,
1982-10,3.158,
1983-01,3.189,
1983-04,3.271,
1983-07,3.212,
1983-10,3.323,
1984-01,3.367,
1984-04,3.313,
1984-07,3.350,
1984-10,3.610,
1985-01,3.552,
1985-04,3.608,
1985-07,3.729,
1985-10,4.394,
1986-01,4.379,
1986-04,4.553,
1986-07,4.914,
1986-10,5.118,
1987-01,5.205,
1987-04,5.365,
1987-07,5.445,
1987-10,5.570,
1988-01,5.567,
1988-04,5.923,
1988-07,6.110,
1988-10,6.325,
1989-01,6.346,
1989-04,6.509,
1989-07,6.591,
1989-10,6.615,
1990-01,6.613,
1990-04,11.465,
1990-07,9.409,
1990-10,9.246,
1991-01,6.936,
1991-04,6.973,
1991-07,7.065,
1991-10,7.125,
1992-01,7.045,
1992-04,6.870,
1992-07,7.284,
1992-10,7.427,
1993-01,7.401,
1993-04,7.645,
1993-07,7.944,
1993-10,8.665,
1994-01,9.004,
1994-04,9.199,
1994-07,9.419,
1994-10,9.577,
1995-01,9.518,
1995-04,9.633,
1995-07,9.791,
1995-10,10.184,
1996-01,10.544,
1996-04,10.580,
1996-07,10.587,
1996-10,11.075,
1997-01,11.329,
1997-04,11.425,
1997-07,11.764,
1997-10,12.384,
1998-01,12.758,
1998-04,13.136,
1998-07,13.576,
1998-10,14.798,
1999-01,13.734,
1999-04,13.907,
1999-07,14.628,
1999-10,15.442,
2000-01,15.629,
2000-04,15.722,
2000-07,15.983,
2000-10,15.966,
2001-01,15.972,
2001-04,15.973,
2001-07,15.757,
2001-10,15.577,
2002-01,15.633,
2002-04,15.564,
2002-07,15.338,
2002-10,15.010,
2003-01,14.651,
2003-04,14.167,
2003-07,13.796,
2003-10,13.343,
2004-01,12.676,
2004-04,12.769,
2004-07,12.202,
2004-10,11.914,
2005-01,11.615,
2005-04,11.159,
2005-07,11.034,
2005-10,10.617,
2006-01,10.008,
2006-04,9.806,
2006-07,9.491,
2006-10,9.360,
2007-01,9.360,
2007-04,9.267,
2007-07,9.329,
2007-10,9.355,
2008-01,9.327,
2008-04,9.261,
2008-07,9.108,
2008-10,9.014,
2009-01,9.099,
2009-04,9.142,
2009-07,9.118,
2009-10,9.170,
2010-01,9.078,
2010-04,9.126,
2010-07,9.083,
2010-10,9.280,
2011-01,9.264,
2011-04,9.521,
2011-07,9.925,
2011-10,10.041,
2012-01,10.315,
2012-04,10.863,
2012-07,11.225,
2012-10,11.790,
2013-01,11.952,
2013-04,11.972,
2013-07,11.957,
2013-10,12.032,
2014-01,11.916,
2014-04,12.071,
2014-07,12.446,
2014-10,12.654,
