"",BBK01.OEXJ04K,BBK01.OEXJ04K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:42,
2002-01,1.372,
2002-04,1.210,
2002-07,1.018,
2002-10,1.584,
2003-01,1.281,
2003-04,1.253,
2003-07,2.006,
2003-10,1.846,
2004-01,1.489,
2004-04,1.358,
2004-07,1.540,
2004-10,1.002,
2005-01,0.878,
2005-04,0.920,
2005-07,1.077,
2005-10,1.136,
2006-01,1.213,
2006-04,1.555,
2006-07,1.388,
2006-10,1.220,
2007-01,1.688,
2007-04,1.634,
2007-07,1.651,
2007-10,1.920,
2008-01,1.708,
2008-04,1.974,
2008-07,1.990,
2008-10,1.811,
2009-01,1.659,
2009-04,1.943,
2009-07,1.675,
2009-10,1.662,
2010-01,1.868,
2010-04,1.810,
2010-07,1.626,
2010-10,2.131,
2011-01,2.004,
2011-04,2.101,
2011-07,2.459,
2011-10,2.331,
2012-01,2.570,
2012-04,2.649,
2012-07,2.575,
2012-10,2.476,
2013-01,2.973,
2013-04,2.163,
2013-07,1.436,
2013-10,1.669,
2014-01,1.423,
2014-04,1.173,
2014-07,1.160,
