"",BBEX3.M.KRW.USD.CA.AB.A01,BBEX3.M.KRW.USD.CA.AB.A01_FLAGS
"",Exchange rates for the US dollar in the Republic of Korea / USD 1 = KRW ... (selling),
unit,KRW (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:18:36,
1968-01,275.10,
1968-02,275.10,
1968-03,275.10,
1968-04,275.20,
1968-05,275.20,
1968-06,275.20,
1968-07,275.20,
1968-08,276.90,
1968-09,279.90,
1968-10,281.30,
1968-11,282.00,
1968-12,281.90,
1969-01,282.10,
1969-02,282.80,
1969-03,283.60,
1969-04,284.60,
1969-05,285.40,
1969-06,285.40,
1969-07,286.70,
1969-08,288.10,
1969-09,289.30,
1969-10,291.90,
1969-11,305.30,
1969-12,305.20,
1970-01,306.10,
1970-02,306.90,
1970-03,307.60,
1970-04,309.40,
1970-05,310.10,
1970-06,311.50,
1970-07,313.10,
1970-08,313.70,
1970-09,314.60,
1970-10,315.70,
1970-11,316.50,
1970-12,317.40,
1971-01,319.30,
1971-02,321.00,
1971-03,323.00,
1971-04,324.90,
1971-05,327.10,
1971-06,371.60,comment
1971-07,371.60,
1971-08,371.60,
1971-09,371.60,
1971-10,371.60,
1971-11,371.60,
1971-12,374.10,
1972-01,377.20,
1972-02,382.80,
1972-03,387.90,
1972-04,393.70,
1972-05,396.90,
1972-06,400.50,
1972-07,400.10,
1972-08,399.80,
1972-09,399.50,
1972-10,399.50,
1972-11,399.60,
1972-12,399.70,
1973-01,399.70,
1973-02,399.70,
1973-03,399.70,
1973-04,399.80,
1973-05,399.70,
1973-06,399.70,
1973-07,399.50,
1973-08,399.10,
1973-09,398.50,
1973-10,398.00,
1973-11,397.70,
1973-12,398.50,
1974-01,399.20,
1974-02,399.50,
1974-03,399.90,
1974-04,400.00,
1974-05,400.00,
1974-06,400.00,
1974-07,400.00,
1974-08,400.00,
1974-09,400.00,
1974-10,400.00,
1974-11,400.00,
1974-12,485.00,comment
1975-01,485.00,
1975-02,485.00,
1975-03,485.00,
1975-04,485.00,
1975-05,485.00,
1975-06,485.00,
1975-07,485.00,
1975-08,485.00,
1975-09,485.00,
1975-10,485.00,
1975-11,485.00,
1975-12,485.00,
1976-01,485.00,
1976-02,485.00,
1976-03,485.00,
1976-04,485.00,
1976-05,485.00,
1976-06,485.00,
1976-07,485.00,
1976-08,485.00,
1976-09,485.00,
1976-10,485.00,
1976-11,485.00,
1976-12,485.00,
1977-01,485.00,
1977-02,485.00,
1977-03,485.00,
1977-04,485.00,
1977-05,485.00,
1977-06,485.00,
1977-07,485.00,
1977-08,485.00,
1977-09,485.00,
1977-10,485.00,
1977-11,485.00,
1977-12,485.00,
1978-01,485.00,
1978-02,485.00,
1978-03,485.00,
1978-04,485.00,
1978-05,485.00,
1978-06,485.00,
1978-07,485.00,
1978-08,485.00,
1978-09,485.00,
1978-10,485.00,
1978-11,485.00,
1978-12,485.00,
1979-01,485.00,
1979-02,485.00,
1979-03,485.00,
1979-04,485.00,
1979-05,485.00,
1979-06,485.00,
1979-07,485.00,
1979-08,485.00,
1979-09,485.00,
1979-10,485.00,
1979-11,485.00,
1979-12,485.00,
1980-01,582.90,comment
1980-02,583.60,
1980-03,589.00,
1980-04,592.60,
1980-05,598.30,
1980-06,605.20,
1980-07,614.30,
1980-08,618.50,
1980-09,627.20,
1980-10,653.90,
1980-11,661.20,
1980-12,662.30,
1981-01,668.10,
1981-02,672.90,
1981-03,675.20,
1981-04,681.30,
1981-05,686.20,
1981-06,687.50,
1981-07,689.40,
1981-08,687.60,
1981-09,687.60,
1981-10,689.30,
1981-11,692.00,
1981-12,702.70,
1982-01,710.50,
1982-02,714.20,
1982-03,720.50,
1982-04,723.20,
1982-05,735.00,
1982-06,742.70,
1982-07,743.20,
1982-08,743.80,
1982-09,744.80,
1982-10,746.80,
1982-11,746.80,
1982-12,750.70,
1983-01,753.40,
1983-02,755.00,
1983-03,765.40,
1983-04,769.90,
1983-05,773.10,
1983-06,778.70,
1983-07,785.10,
1983-08,792.10,
1983-09,791.30,
1983-10,794.90,
1983-11,798.90,
1983-12,797.50,
1984-01,801.30,
1984-02,795.30,
1984-03,793.80,
1984-04,799.60,
1984-05,800.30,
1984-06,805.50,
1984-07,812.80,
1984-08,810.80,
1984-09,817.30,
1984-10,819.50,
1984-11,823.30,
1984-12,829.50,
1985-01,832.70,
1985-02,845.00,
1985-03,853.00,
1985-04,868.10,
1985-05,873.20,
1985-06,876.00,
1985-07,878.50,
1985-08,889.10,
1985-09,894.40,
1985-10,894.50,
1985-11,891.40,
1985-12,892.50,
1986-01,891.00,
1986-02,886.10,
