"",BBK01.OEAH50T,BBK01.OEAH50T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:30:56,
2002-01,0.051,
2002-04,0.053,
2002-07,0.053,
2002-10,0.052,
2003-01,0.053,
2003-04,0.052,
2003-07,0.050,
2003-10,0.051,
2004-01,0.053,
2004-04,0.056,
2004-07,0.055,
2004-10,0.055,
2005-01,0.057,
2005-04,0.057,
2005-07,0.056,
2005-10,0.056,
2006-01,0.056,
2006-04,0.057,
2006-07,0.057,
2006-10,0.059,
2007-01,0.060,
2007-04,0.059,
2007-07,0.061,
2007-10,0.065,
2008-01,0.069,
2008-04,0.069,
2008-07,0.072,
2008-10,0.077,
2009-01,0.079,
2009-04,0.074,
2009-07,0.069,
2009-10,0.064,
2010-01,0.064,
2010-04,0.063,
2010-07,0.062,
2010-10,0.062,
2011-01,0.072,
2011-04,0.077,
2011-07,0.078,
2011-10,0.082,
2012-01,0.075,
2012-04,0.074,
2012-07,0.074,
2012-10,0.067,
2013-01,0.063,
2013-04,0.056,
2013-07,0.054,
2013-10,0.053,
2014-01,0.047,
2014-04,0.043,
2014-07,0.041,
