"",BBK01.OECJ02O,BBK01.OECJ02O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:01:19,
2002-01,0.753,
2002-04,0.761,
2002-07,0.864,
2002-10,0.848,
2003-01,0.802,
2003-04,0.927,
2003-07,1.007,
2003-10,1.036,
2004-01,0.944,
2004-04,0.920,
2004-07,0.893,
2004-10,0.974,
2005-01,0.886,
2005-04,1.109,
2005-07,1.035,
2005-10,1.119,
2006-01,1.008,
2006-04,0.961,
2006-07,1.128,
2006-10,1.121,
2007-01,1.037,
2007-04,1.015,
2007-07,1.142,
2007-10,1.572,
2008-01,1.373,
2008-04,1.364,
2008-07,1.529,
2008-10,1.477,
2009-01,1.447,
2009-04,1.525,
2009-07,1.808,
2009-10,2.099,
2010-01,1.915,
2010-04,2.010,
2010-07,2.122,
2010-10,2.048,
2011-01,1.864,
2011-04,1.920,
2011-07,2.279,
2011-10,2.023,
2012-01,1.901,
2012-04,2.129,
2012-07,2.592,
2012-10,3.540,
2013-01,3.324,
2013-04,2.781,
2013-07,2.721,
2013-10,2.490,
2014-01,2.390,
2014-04,2.425,
2014-07,2.996,
