"",BBDG1.M.HWWI.N.EURO.TOTNXNGY.INDBEU.HE.A,BBDG1.M.HWWI.N.EURO.TOTNXNGY.INDBEU.HE.A_FLAGS
"",HWWI Commodity Price Index / Total excluding energy / Euro area / Index based on Euro,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-03 13:08:21,
1978-09,47.8,
1978-10,47.6,
1978-11,49.2,
1978-12,48.3,
1979-01,48.1,
1979-02,50.6,
1979-03,52.4,
1979-04,53.5,
1979-05,54.4,
1979-06,57.7,
1979-07,55.8,
1979-08,54.5,
1979-09,54.4,
1979-10,54.9,
1979-11,55.1,
1979-12,54.7,
1980-01,55.7,
1980-02,58.8,
1980-03,58.7,
1980-04,57.2,
1980-05,55.5,
1980-06,53.5,
1980-07,54.2,
1980-08,55.7,
1980-09,56.2,
1980-10,57.2,
1980-11,59.2,
1980-12,57.8,
1981-01,58.3,
1981-02,60.8,
1981-03,60.5,
1981-04,61.9,
1981-05,62.0,
1981-06,61.8,
1981-07,63.8,
1981-08,65.4,
1981-09,60.6,
1981-10,58.6,
1981-11,57.3,
1981-12,58.2,
1982-01,59.5,
1982-02,61.4,
1982-03,60.4,
1982-04,60.7,
1982-05,58.3,
1982-06,59.0,
1982-07,59.8,
1982-08,58.7,
1982-09,59.2,
1982-10,58.6,
1982-11,59.9,
1982-12,57.9,
1983-01,58.5,
1983-02,61.2,
1983-03,63.3,
1983-04,66.8,
1983-05,68.5,
1983-06,70.7,
1983-07,73.0,
1983-08,80.4,
1983-09,82.6,
1983-10,80.6,
1983-11,81.7,
1983-12,83.8,
1984-01,86.8,
1984-02,83.7,
1984-03,82.7,
1984-04,83.9,
1984-05,87.3,
1984-06,84.3,
1984-07,81.9,
1984-08,81.2,
1984-09,83.2,
1984-10,83.4,
1984-11,82.1,
1984-12,82.3,
1985-01,83.5,
1985-02,85.7,
1985-03,85.7,
1985-04,81.3,
1985-05,80.2,
1985-06,76.9,
1985-07,72.0,
1985-08,68.5,
1985-09,68.4,
1985-10,64.9,
1985-11,64.7,
1985-12,71.1,
1986-01,68.1,
1986-02,64.9,
1986-03,66.6,
1986-04,63.6,
1986-05,61.5,
1986-06,59.8,
1986-07,57.2,
1986-08,55.5,
1986-09,57.5,
1986-10,55.5,
1986-11,54.9,
1986-12,52.9,
1987-01,49.8,
1987-02,49.9,
1987-03,49.7,
1987-04,50.5,
1987-05,52.3,
1987-06,53.5,
1987-07,54.5,
1987-08,55.3,
1987-09,55.1,
1987-10,57.8,
1987-11,55.5,
1987-12,56.5,
1988-01,58.4,
1988-02,59.5,
1988-03,61.8,
1988-04,63.3,
1988-05,68.0,
1988-06,79.9,
1988-07,75.8,
1988-08,75.8,
1988-09,73.7,
1988-10,71.9,
1988-11,71.2,
1988-12,72.9,
1989-01,75.8,
1989-02,73.4,
1989-03,73.7,
1989-04,72.4,
1989-05,74.6,
1989-06,72.1,
1989-07,67.5,
1989-08,67.5,
1989-09,67.3,
1989-10,64.5,
1989-11,62.2,
1989-12,58.5,
1990-01,55.4,
1990-02,54.0,
1990-03,57.3,
1990-04,57.2,
1990-05,57.2,
1990-06,56.5,
1990-07,54.6,
1990-08,54.2,
1990-09,56.0,
1990-10,52.5,
1990-11,48.3,
1990-12,47.6,
1991-01,47.3,
1991-02,46.5,
1991-03,49.8,
1991-04,51.8,
1991-05,50.6,
1991-06,51.6,
1991-07,51.5,
1991-08,50.5,
1991-09,49.8,
1991-10,48.6,
1991-11,47.1,
1991-12,45.2,
1992-01,45.8,
1992-02,47.4,
1992-03,48.7,
1992-04,48.4,
1992-05,47.8,
1992-06,46.7,
1992-07,44.9,
1992-08,43.8,
1992-09,43.8,
1992-10,44.0,
1992-11,46.2,
1992-12,46.6,
1993-01,47.0,
1993-02,46.5,
1993-03,47.0,
1993-04,45.5,
1993-05,45.7,
1993-06,47.0,
1993-07,51.5,
1993-08,51.1,
