"",BBK01.OEAF10N,BBK01.OEAF10N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:42,
2002-01,0.419,
2002-04,0.431,
2002-07,0.420,
2002-10,0.422,
2003-01,0.413,
2003-04,0.416,
2003-07,0.414,
2003-10,0.399,
2004-01,0.395,
2004-04,0.399,
2004-07,0.325,
2004-10,0.335,
2005-01,0.331,
2005-04,0.414,
2005-07,0.508,
2005-10,0.527,
2006-01,0.789,
2006-04,0.784,
2006-07,0.787,
2006-10,0.786,
2007-01,0.774,
2007-04,0.741,
2007-07,0.759,
2007-10,0.747,
2008-01,0.691,
2008-04,0.682,
2008-07,0.659,
2008-10,0.651,
2009-01,0.633,
2009-04,0.503,
2009-07,0.705,
2009-10,0.715,
2010-01,0.721,
2010-04,0.729,
2010-07,0.792,
2010-10,0.787,
2011-01,0.783,
2011-04,0.787,
2011-07,0.786,
2011-10,0.790,
2012-01,0.788,
2012-04,0.786,
2012-07,0.788,
2012-10,0.780,
2013-01,0.779,
2013-04,0.781,
2013-07,0.710,
2013-10,0.767,
2014-01,0.820,
2014-04,0.809,
2014-07,0.802,
