"",BBK01.OEHO03P,BBK01.OEHO03P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:50,
2002-01,0.577,
2002-04,0.452,
2002-07,0.458,
2002-10,0.448,
2003-01,0.462,
2003-04,0.370,
2003-07,0.372,
2003-10,0.334,
2004-01,0.364,
2004-04,0.346,
2004-07,0.322,
2004-10,0.372,
2005-01,0.361,
2005-04,0.319,
2005-07,0.304,
2005-10,0.359,
2006-01,0.380,
2006-04,0.373,
2006-07,0.405,
2006-10,0.432,
2007-01,0.531,
2007-04,0.419,
2007-07,0.412,
2007-10,0.424,
2008-01,0.572,
2008-04,0.416,
2008-07,0.468,
2008-10,0.467,
2009-01,0.463,
2009-04,0.444,
2009-07,0.377,
2009-10,0.399,
2010-01,0.324,
2010-04,0.303,
2010-07,0.302,
2010-10,0.287,
2011-01,0.339,
2011-04,0.316,
2011-07,0.304,
2011-10,0.314,
2012-01,0.314,
2012-04,0.338,
2012-07,0.294,
2012-10,0.329,
2013-01,0.337,
2013-04,0.316,
2013-07,0.298,
2013-10,0.289,
2014-01,0.295,
2014-04,0.271,
2014-07,0.266,
