"",BBFB1.Q.N.DE.AU.S1.S1.T.L.FA._T.F._Z._T._X.N,BBFB1.Q.N.DE.AU.S1.S1.T.L.FA._T.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Australia,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:48:48,
1991-01,-173.538,
1991-04,229.310,
1991-07,-358.799,
1991-10,-1.526,
1992-01,-44.712,
1992-04,-26.006,
1992-07,875.414,
1992-10,-359.193,
1993-01,-92.534,
1993-04,182.097,
1993-07,-75.304,
1993-10,89.737,
1994-01,-262.345,
1994-04,-202.631,
1994-07,-1.265,
1994-10,-72.593,
1995-01,277.064,
1995-04,-88.364,
1995-07,-250.210,
1995-10,35.359,
1996-01,-254.592,
1996-04,91.030,
1996-07,187.582,
1996-10,73.072,
1997-01,-237.181,
1997-04,-99.995,
1997-07,-118.796,
1997-10,285.204,
1998-01,157.897,
1998-04,166.531,
1998-07,151.063,
1998-10,135.751,
1999-01,-30.854,
1999-04,668.611,
1999-07,425.251,
1999-10,107.895,
2000-01,-544.755,
2000-04,198.136,
2000-07,112.144,
2000-10,454.978,
2001-01,-620.581,
2001-04,-255.679,
2001-07,20.634,
2001-10,539.553,
2002-01,208.378,
2002-04,-538.578,
2002-07,1850.383,
2002-10,-57.010,
2003-01,661.926,
2003-04,383.009,
2003-07,142.855,
2003-10,-428.616,
2004-01,1635.339,
2004-04,2075.043,
2004-07,-1425.559,
2004-10,264.234,
2005-01,749.014,
2005-04,1693.472,
2005-07,1068.550,
2005-10,-0.677,
2006-01,1325.851,
2006-04,904.731,
2006-07,-17.771,
2006-10,-22.966,
2007-01,2951.549,
2007-04,1830.143,
2007-07,-1056.020,
2007-10,-240.968,
2008-01,1682.609,
2008-04,4124.151,
2008-07,-114.407,
2008-10,629.131,
2009-01,563.912,
2009-04,3041.344,
2009-07,-2058.457,
2009-10,275.857,
2010-01,1320.494,
2010-04,468.888,
2010-07,-1057.380,
2010-10,964.048,
2011-01,1641.463,
2011-04,420.603,
2011-07,77.536,
2011-10,229.317,
2012-01,-1673.765,
2012-04,1873.477,
2012-07,473.105,
2012-10,1627.232,
2013-01,-1104.139,
2013-04,-1132.074,
2013-07,-1427.253,
2013-10,-32.796,
2014-01,1146.465,Provisional value
2014-04,-7.529,Provisional value
2014-07,324.839,Provisional value
2014-10,-993.380,Provisional value
