"",BBK01.OELK02Q,BBK01.OELK02Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:10:20,
2002-01,0.482,
2002-04,0.469,
2002-07,0.485,
2002-10,0.550,
2003-01,0.512,
2003-04,0.507,
2003-07,0.545,
2003-10,0.606,
2004-01,0.559,
2004-04,0.560,
2004-07,0.596,
2004-10,0.658,
2005-01,0.608,
2005-04,0.614,
2005-07,0.648,
2005-10,0.762,
2006-01,0.627,
2006-04,0.673,
2006-07,0.664,
2006-10,0.763,
2007-01,0.712,
2007-04,0.693,
2007-07,0.759,
2007-10,0.869,
2008-01,0.747,
2008-04,0.725,
2008-07,0.749,
2008-10,0.856,
2009-01,0.782,
2009-04,0.822,
2009-07,0.886,
2009-10,0.971,
2010-01,0.939,
2010-04,0.975,
2010-07,1.046,
2010-10,1.119,
2011-01,1.041,
2011-04,1.009,
2011-07,1.088,
2011-10,1.249,
2012-01,1.162,
2012-04,1.156,
2012-07,1.234,
2012-10,1.329,
2013-01,1.237,
2013-04,1.255,
2013-07,1.336,
2013-10,1.476,
2014-01,1.415,
2014-04,1.407,
2014-07,1.471,
