"",BBK01.CEF490,BBK01.CEF490_FLAGS
"",Loans                                                           debtor: OFI       creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:35:26,
1999-01,8.2,
1999-04,7.8,
1999-07,8.3,
1999-10,11.7,
2000-01,11.5,
2000-04,10.7,
2000-07,11.6,
2000-10,11.3,
2001-01,12.6,
2001-04,13.1,
2001-07,13.8,
2001-10,14.5,
2002-01,15.1,
2002-04,15.7,
2002-07,16.1,
2002-10,17.6,
2003-01,17.0,
2003-04,19.4,
2003-07,20.2,
2003-10,23.5,
2004-01,25.7,
2004-04,26.5,
2004-07,25.4,
2004-10,25.4,
2005-01,28.8,
2005-04,29.5,
2005-07,30.9,
2005-10,31.7,
2006-01,35.1,
2006-04,34.7,
2006-07,34.5,
2006-10,34.4,
2007-01,35.4,
2007-04,37.0,
2007-07,35.5,
2007-10,36.2,
2008-01,35.6,
2008-04,37.1,
2008-07,41.9,
2008-10,42.0,
2009-01,42.8,
2009-04,45.9,
2009-07,42.6,
2009-10,28.1,
2010-01,28.9,
2010-04,29.6,
2010-07,30.9,
2010-10,30.0,
2011-01,30.3,
2011-04,30.2,
2011-07,29.9,
2011-10,29.4,
2012-01,29.8,
2012-04,33.1,
2012-07,30.0,
2012-10,32.1,
2013-01,31.5,
2013-04,31.1,
2013-07,29.6,
2013-10,29.2,
2014-01,28.2,
2014-04,28.5,
2014-07,29.6,
