"",BBFB1.Q.N.DE.US.S1.S1.T.B.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.US.S1.S1.T.B.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Balance / United States,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:32:56,
1991-01,664.188,
1991-04,-170.155,
1991-07,397.956,
1991-10,652.670,
1992-01,1165.062,
1992-04,848.281,
1992-07,1276.433,
1992-10,1754.872,
1993-01,904.487,
1993-04,1047.584,
1993-07,780.415,
1993-10,943.462,
1994-01,-51.389,
1994-04,-212.425,
1994-07,-351.101,
1994-10,-339.862,
1995-01,-170.785,
1995-04,541.636,
1995-07,-47.474,
1995-10,307.481,
1996-01,1068.094,
1996-04,468.525,
1996-07,756.154,
1996-10,718.582,
1997-01,940.101,
1997-04,350.551,
1997-07,766.605,
1997-10,421.351,
1998-01,1082.954,
1998-04,822.593,
1998-07,684.981,
1998-10,523.072,
1999-01,-693.870,
1999-04,1286.755,
1999-07,209.539,
1999-10,-217.390,
2000-01,655.413,
2000-04,-11.924,
2000-07,239.370,
2000-10,-735.178,
2001-01,-1129.969,
2001-04,-1522.663,
2001-07,-1224.743,
2001-10,-970.591,
2002-01,-521.217,
2002-04,-1177.560,
2002-07,-816.547,
2002-10,-1013.944,
2003-01,-366.440,
2003-04,-449.824,
2003-07,-195.813,
2003-10,-219.339,
2004-01,3378.155,
2004-04,2645.762,
2004-07,3484.506,
2004-10,3769.958,
2005-01,2286.844,
2005-04,1403.391,
2005-07,2614.126,
2005-10,2700.518,
2006-01,2995.314,
2006-04,1182.318,
2006-07,2727.551,
2006-10,2993.980,
2007-01,1052.068,
2007-04,-1815.420,
2007-07,1050.998,
2007-10,1728.176,
2008-01,-3108.122,
2008-04,-105.701,
2008-07,4865.839,
2008-10,2034.354,
2009-01,994.424,
2009-04,-1688.244,
2009-07,713.136,
2009-10,363.118,
2010-01,1047.384,
2010-04,-1705.171,
2010-07,803.875,
2010-10,883.133,
2011-01,743.865,
2011-04,-2317.933,
2011-07,1180.070,
2011-10,1206.222,
2012-01,1022.012,
2012-04,-2054.638,
2012-07,1227.688,
2012-10,1357.882,
2013-01,-899.929,
2013-04,-4081.049,
2013-07,-811.581,
2013-10,-721.691,
2014-01,-922.821,Provisional value
2014-04,-3898.877,Provisional value
2014-07,-928.803,Provisional value
