"",BBK01.OELB05S,BBK01.OELB05S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:39:20,
2002-01,2.256,
2002-04,2.259,
2002-07,2.282,
2002-10,2.311,
2003-01,2.288,
2003-04,2.307,
2003-07,2.312,
2003-10,2.280,
2004-01,2.262,
2004-04,2.274,
2004-07,2.221,
2004-10,2.150,
2005-01,2.130,
2005-04,2.121,
2005-07,2.117,
2005-10,2.076,
2006-01,2.045,
2006-04,2.069,
2006-07,2.052,
2006-10,2.038,
2007-01,2.068,
2007-04,2.001,
2007-07,2.011,
2007-10,1.962,
2008-01,1.959,
2008-04,1.999,
2008-07,2.034,
2008-10,2.013,
2009-01,2.041,
2009-04,2.068,
2009-07,2.202,
2009-10,2.290,
2010-01,2.308,
2010-04,2.336,
2010-07,2.351,
2010-10,2.389,
2011-01,2.415,
2011-04,2.464,
2011-07,2.472,
2011-10,2.659,
2012-01,2.710,
2012-04,3.214,
2012-07,3.234,
2012-10,3.196,
2013-01,3.236,
2013-04,3.285,
2013-07,3.338,
2013-10,3.375,
2014-01,3.394,
2014-04,3.441,
2014-07,3.475,
