"",BBK01.CEFK10,BBK01.CEFK10_FLAGS
"",Other equity                                            debtor: Non-financial corporations creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:33:16,
1999-01,314.1,
1999-04,316.8,
1999-07,320.0,
1999-10,335.7,
2000-01,343.7,
2000-04,368.8,
2000-07,380.4,
2000-10,472.6,
2001-01,482.3,
2001-04,486.6,
2001-07,488.6,
2001-10,500.0,
2002-01,513.0,
2002-04,516.6,
2002-07,519.1,
2002-10,526.9,
2003-01,540.1,
2003-04,540.2,
2003-07,545.5,
2003-10,568.6,
2004-01,577.9,
2004-04,579.3,
2004-07,586.8,
2004-10,599.4,
2005-01,602.7,
2005-04,607.6,
2005-07,611.6,
2005-10,603.9,
2006-01,607.4,
2006-04,609.1,
2006-07,614.5,
2006-10,635.5,
2007-01,641.9,
2007-04,647.9,
2007-07,658.4,
2007-10,670.2,
2008-01,677.7,
2008-04,684.9,
2008-07,686.5,
2008-10,691.9,
2009-01,693.2,
2009-04,694.4,
2009-07,695.3,
2009-10,703.9,
2010-01,707.4,
2010-04,711.8,
2010-07,714.6,
2010-10,722.1,
2011-01,727.0,
2011-04,731.5,
2011-07,737.4,
2011-10,741.4,
2012-01,743.8,
2012-04,745.3,
2012-07,741.3,
2012-10,750.7,
2013-01,751.8,
2013-04,753.9,
2013-07,755.5,
2013-10,761.3,
2014-01,763.5,
2014-04,765.0,
2014-07,767.0,
