"",BBK01.OEXB15M,BBK01.OEXB15M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:50,
2002-01,0.401,
2002-04,0.386,
2002-07,0.371,
2002-10,0.379,
2003-01,0.369,
2003-04,0.356,
2003-07,0.359,
2003-10,0.357,
2004-01,0.352,
2004-04,0.349,
2004-07,0.352,
2004-10,0.335,
2005-01,0.328,
2005-04,1.732,
2005-07,1.609,
2005-10,1.686,
2006-01,1.740,
2006-04,1.849,
2006-07,1.982,
2006-10,1.895,
2007-01,1.987,
2007-04,1.937,
2007-07,2.065,
2007-10,2.157,
2008-01,2.004,
2008-04,2.082,
2008-07,1.994,
2008-10,2.140,
2009-01,2.230,
2009-04,2.342,
2009-07,2.420,
2009-10,2.546,
2010-01,2.611,
2010-04,2.631,
2010-07,2.748,
2010-10,2.892,
2011-01,2.812,
2011-04,2.797,
2011-07,2.793,
2011-10,2.929,
2012-01,3.005,
2012-04,3.155,
2012-07,3.228,
2012-10,3.326,
2013-01,3.160,
2013-04,3.252,
2013-07,3.188,
2013-10,3.306,
2014-01,3.356,
2014-04,3.180,
2014-07,3.291,
