"",BBSF2.M.1.P.00000.TOT01.I.F.SVG.SI.00013.F03300.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.SVG.SI.00013.F03300.Z01.00_FLAGS
"",Public funds / Funds total / Debt securities total / Slovenia / General Government,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:05,
2009-09,94,
2009-10,87,
2009-11,89,
2009-12,88,
2010-01,115,
2010-02,108,
2010-03,125,
2010-04,124,
2010-05,125,
2010-06,123,
2010-07,122,
2010-08,130,
2010-09,131,
2010-10,113,
2010-11,110,
2010-12,101,
2011-01,101,
2011-02,112,
2011-03,117,
2011-04,118,
2011-05,123,
2011-06,99,
2011-07,87,
2011-08,77,
2011-09,72,
2011-10,71,
2011-11,55,
2011-12,56,
2012-01,48,
2012-02,41,
2012-03,42,
2012-04,42,
2012-05,43,
2012-06,41,
2012-07,24,
2012-08,15,
2012-09,17,
2012-10,22,
2012-11,25,
2012-12,24,
2013-01,26,
2013-02,26,
2013-03,17,
2013-04,39,
2013-05,45,
2013-06,42,
2013-07,38,
2013-08,39,
2013-09,38,
2013-10,46,
2013-11,51,
2013-12,64,
2014-01,71,
2014-02,83,
2014-03,79,
2014-04,151,
2014-05,139,
2014-06,136,
2014-07,138,
2014-08,148,
2014-09,146,
2014-10,204,
2014-11,219,
