"",BBFB1.M.N.DE.1C.S121.S121.T.A.FA.R.FK._Z.XDR.M.N,BBFB1.M.N.DE.1C.S121.S121.T.A.FA.R.FK._Z.XDR.M.N_FLAGS
"",Assets (Net Acquisition of) / Financial account / Reserve Position in the IMF / IMF (International Monetary Fund) / Central bank / Reserve Assets,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:54:28,
1991-01,118.300,
1991-02,148.852,
1991-03,-37.729,
1991-04,74.675,
1991-05,44.702,
1991-06,-28.027,
1991-07,58.883,
1991-08,-6.597,
1991-09,61.553,
1991-10,-44.398,
1991-11,-6.907,
1991-12,4.790,
1992-01,31.495,
1992-02,-16.227,
1992-03,-109.007,
1992-04,103.216,
1992-05,0.002,
1992-06,-5.473,
1992-07,30.175,
1992-08,-48.656,
1992-09,19.893,
1992-10,-49.621,
1992-11,-105.774,
1992-12,814.332,
1993-01,-48.001,
1993-02,-50.829,
1993-03,-38.720,
1993-04,10.738,
1993-05,-52.443,
1993-06,-64.416,
1993-07,101.149,
1993-08,-35.655,
1993-09,-11.364,
1993-10,-13.183,
1993-11,-70.836,
1993-12,33.921,
1994-01,-10.238,
1994-02,-17.791,
1994-03,16.377,
1994-04,-35.562,
1994-05,-28.702,
1994-06,-4.858,
1994-07,5.240,
1994-08,-26.391,
1994-09,-41.975,
1994-10,14.867,
1994-11,12.321,
1994-12,-4.846,
1995-01,-19.543,
1995-02,261.527,
1995-03,1.509,
1995-04,160.146,
1995-05,10.001,
1995-06,112.828,
1995-07,25.236,
1995-08,114.740,
1995-09,142.038,
1995-10,-,Nothing exists
1995-11,-37.246,
1995-12,63.793,
1996-01,82.101,
1996-02,59.453,
1996-03,193.290,
1996-04,0.026,
1996-05,3.466,
1996-06,-13.276,
1996-07,22.196,
1996-08,30.866,
1996-09,-12.147,
1996-10,0.039,
1996-11,-33.432,
1996-12,-6.173,
1997-01,-119.335,
1997-02,-22.468,
1997-03,-66.130,
1997-04,-20.882,
1997-05,0.077,
1997-06,-31.354,
1997-07,47.710,
1997-08,63.368,
1997-09,-,Nothing exists
1997-10,0.051,
1997-11,262.175,
1997-12,645.500,
1998-01,498.127,
1998-02,122.688,
1998-03,-0.500,
1998-04,42.514,
1998-05,-0.126,
1998-06,358.570,
1998-07,540.330,
1998-08,-,Nothing exists
1998-09,270.653,
1998-10,-10.431,
1998-11,-1.460,
1998-12,-229.221,
1999-01,-3.447,
1999-02,119.792,
1999-03,-220.072,
1999-04,123.764,
1999-05,-301.773,
1999-06,-295.760,
1999-07,-55.222,
1999-08,-284.861,
1999-09,-163.821,
1999-10,-64.931,
1999-11,-66.312,
1999-12,-103.779,
2000-01,-26.853,
2000-02,-17.695,
2000-03,152.865,
2000-04,-902.903,
2000-05,-39.683,
2000-06,-21.162,
2000-07,-189.631,
2000-08,0.059,
2000-09,-28.803,
2000-10,-76.233,
2000-11,-117.686,
2000-12,575.569,
2001-01,138.879,
2001-02,-293.460,
2001-03,-41.632,
2001-04,-92.239,
2001-05,4.246,
2001-06,275.158,
2001-07,0.000,
2001-08,-87.259,
2001-09,1222.411,
2001-10,-365.562,
2001-11,0.050,
2001-12,-33.849,
2002-01,103.366,
2002-02,0.532,
2002-03,0.040,
2002-04,-456.383,
2002-05,-,Nothing exists
2002-06,1078.840,
2002-07,-70.826,
2002-08,-128.643,
2002-09,0.070,
2002-10,-137.307,
2002-11,-48.440,
2002-12,-30.946,
2003-01,-43.101,
2003-02,-,Nothing exists
2003-03,456.003,
2003-04,-0.425,
2003-05,-0.005,
2003-06,255.604,
2003-07,-29.640,
2003-08,62.278,
2003-09,156.912,
2003-10,-,Nothing exists
2003-11,-21.836,
2003-12,-522.230,
2004-01,-,Nothing exists
2004-02,14.208,
2004-03,-247.211,
2004-04,245.245,
2004-05,-114.362,
2004-06,-320.845,
2004-07,-25.136,
2004-08,14.009,
2004-09,-278.078,
2004-10,-43.133,
2004-11,-72.776,
2004-12,-46.534,
2005-01,-67.939,
2005-02,-60.467,
2005-03,-424.627,
2005-04,-73.305,
2005-05,84.825,
2005-06,-535.858,
2005-07,-796.793,
2005-08,0.100,
2005-09,-24.400,
2005-10,-10.883,
2005-11,-,Nothing exists
2005-12,-456.108,
2006-01,-7.765,
2006-02,-720.257,
2006-03,-19.289,
2006-04,-14.367,
2006-05,-306.886,
2006-06,289.733,
2006-07,-157.375,
2006-08,33.777,
2006-09,-75.253,
2006-10,-345.167,
2006-11,0.200,
2006-12,-21.614,
2007-01,-36.494,
2007-02,-247.982,
2007-03,-98.670,
2007-04,-14.021,
2007-05,75.364,
2007-06,0.100,
2007-07,-59.628,
2007-08,-11.804,
2007-09,-16.346,
2007-10,-32.301,
2007-11,-32.649,
2007-12,-,Nothing exists
2008-01,-17.927,
2008-02,-1.456,
2008-03,-34.583,
2008-04,-0.331,
2008-05,168.306,
2008-06,0.200,
2008-07,-33.157,
2008-08,-,Nothing exists
2008-09,29.169,
2008-10,-39.282,
2008-11,689.152,
2008-12,0.100,
2009-01,-,Nothing exists
2009-02,0.099,
2009-03,127.204,
2009-04,0.100,
2009-05,1243.897,
2009-06,-,Nothing exists
2009-07,201.638,
2009-08,-86.906,
2009-09,-,Nothing exists
2009-10,338.349,
2009-11,-744.755,
2009-12,0.100,
2010-01,25.586,
2010-02,730.405,
2010-03,-105.856,
2010-04,-15.379,
2010-05,692.630,
2010-06,-38.841,
2010-07,85.034,
2010-08,-98.236,
2010-09,188.977,
2010-10,-120.473,
2010-11,-198.526,
2010-12,604.382,
2011-01,197.954,
2011-02,-78.528,
2011-03,1524.248,
2011-04,0.000,
2011-05,-0.008,
2011-06,0.200,
2011-07,412.799,
2011-08,0.399,
2011-09,323.266,
2011-10,-,Nothing exists
2011-11,37.423,
2011-12,887.049,
2012-01,-,Nothing exists
2012-02,417.038,
2012-03,43.394,
2012-04,204.504,
2012-05,0.199,
2012-06,151.788,
2012-07,19.871,
2012-08,316.370,
2012-09,44.575,
2012-10,-29.258,
2012-11,-315.269,
2012-12,-116.344,
2013-01,156.485,
2013-02,-186.729,
2013-03,119.429,
2013-04,-,Nothing exists
2013-05,-32.312,
2013-06,-9.951,
2013-07,80.203,
2013-08,-310.681,
2013-09,23.406,
2013-10,-329.411,
2013-11,-49.081,
2013-12,92.459,
2014-01,0.200,
2014-02,-249.645,
2014-03,-10.199,
2014-04,185.735,
2014-05,-73.413,
2014-06,-331.857,
2014-07,0.200,
2014-08,-368.775,
2014-09,237.202,
2014-10,-138.471,
2014-11,-65.706,
2014-12,-1262.754,
