"",BBK01.OELB12S,BBK01.OELB12S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:39:23,
2002-01,0.285,
2002-04,0.278,
2002-07,0.275,
2002-10,0.252,
2003-01,0.238,
2003-04,0.242,
2003-07,0.242,
2003-10,0.225,
2004-01,0.224,
2004-04,0.223,
2004-07,0.214,
2004-10,0.214,
2005-01,0.216,
2005-04,0.221,
2005-07,0.221,
2005-10,0.231,
2006-01,0.224,
2006-04,0.240,
2006-07,0.242,
2006-10,0.256,
2007-01,0.284,
2007-04,0.288,
2007-07,0.294,
2007-10,0.293,
2008-01,0.303,
2008-04,0.315,
2008-07,0.334,
2008-10,0.345,
2009-01,0.348,
2009-04,0.351,
2009-07,0.370,
2009-10,0.422,
2010-01,0.426,
2010-04,0.439,
2010-07,0.451,
2010-10,0.489,
2011-01,0.504,
2011-04,0.534,
2011-07,0.537,
2011-10,0.682,
2012-01,0.700,
2012-04,0.731,
2012-07,0.739,
2012-10,0.721,
2013-01,0.723,
2013-04,0.745,
2013-07,0.758,
2013-10,0.828,
2014-01,0.835,
2014-04,0.859,
2014-07,0.864,
