"",BBK01.TZ1381O,BBK01.TZ1381O_FLAGS
"","Credit to other financial intermediaries (from June 2010, excluding reverse repos to central counterparties) / Loans / All maturities / Domestic / Financial transactions (flows) / Seasonally adjusted",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-27 09:16:30,
2003-01,2.4,
2003-02,1.5,
2003-03,3.5,
2003-04,-1.5,
2003-05,0.1,
2003-06,1.4,
2003-07,-3.6,
2003-08,0.2,
2003-09,6.9,
2003-10,0.0,
2003-11,2.1,
2003-12,2.6,
2004-01,-2.2,
2004-02,-0.4,
2004-03,-0.1,
2004-04,1.1,
2004-05,0.3,
2004-06,-2.1,
2004-07,0.1,
2004-08,-2.7,
2004-09,3.5,
2004-10,0.1,
2004-11,7.0,
2004-12,2.5,
2005-01,-1.3,
2005-02,3.1,
2005-03,-1.1,
2005-04,0.6,
2005-05,1.8,
2005-06,3.1,
2005-07,2.8,
2005-08,4.7,
2005-09,-0.5,
2005-10,8.3,
2005-11,-4.3,
2005-12,-4.2,
2006-01,6.7,
2006-02,2.2,
2006-03,4.1,
2006-04,2.2,
2006-05,1.0,
2006-06,-1.8,
2006-07,-7.5,
2006-08,6.8,
2006-09,7.1,
2006-10,-5.6,
2006-11,-5.4,
2006-12,-7.9,
2007-01,5.8,
2007-02,0.6,
2007-03,2.9,
2007-04,-2.0,
2007-05,-3.2,
2007-06,6.4,
2007-07,0.5,
2007-08,2.9,
2007-09,-0.4,
2007-10,3.7,
2007-11,-4.7,
2007-12,6.0,
2008-01,6.3,
2008-02,0.7,
2008-03,2.6,
2008-04,3.1,
2008-05,2.0,
2008-06,3.4,
2008-07,7.1,
2008-08,-2.9,
2008-09,3.2,
2008-10,-7.1,
2008-11,2.2,
2008-12,5.6,
2009-01,11.0,
2009-02,-7.4,
2009-03,17.5,
2009-04,2.4,
2009-05,0.8,
2009-06,10.9,
2009-07,-13.6,
2009-08,-10.4,
2009-09,13.8,
2009-10,-3.3,
2009-11,3.8,
2009-12,5.0,
2010-01,-12.2,
2010-02,-5.7,
2010-03,0.6,
2010-04,11.8,
2010-05,-5.9,
2010-06,2.2,
2010-07,1.2,
2010-08,-1.0,
2010-09,-4.0,
2010-10,0.3,
2010-11,0.6,
2010-12,3.3,
2011-01,-3.0,
2011-02,0.4,
2011-03,-1.0,
2011-04,-1.5,
2011-05,0.1,
2011-06,0.7,
2011-07,0.0,
2011-08,2.1,
2011-09,0.6,
2011-10,2.4,
2011-11,-0.6,
2011-12,0.4,
2012-01,3.8,
2012-02,-3.2,
2012-03,-1.1,
2012-04,-3.1,
2012-05,0.0,
2012-06,1.7,
2012-07,0.0,
2012-08,1.3,
2012-09,-0.7,
2012-10,0.5,
2012-11,-0.5,
2012-12,2.3,
2013-01,-2.0,
2013-02,-1.1,
2013-03,0.5,
2013-04,0.0,
2013-05,0.1,
2013-06,0.4,
2013-07,-1.2,
2013-08,0.5,
2013-09,-0.4,
2013-10,0.4,
2013-11,-1.2,
2013-12,-1.2,
2014-01,0.6,
2014-02,1.1,
2014-03,0.3,
2014-04,0.7,
2014-05,0.5,
2014-06,-1.3,
2014-07,0.9,
2014-08,-0.3,
2014-09,1.4,
2014-10,-1.0,
2014-11,1.9,
2014-12,-0.6,Provisional value
2015-01,0.8,
