"",BBK01.WX0050,BBK01.WX0050_FLAGS
"",Disount interest rates pursuant to section 253 (2) of the German Commercial Code including spread / residual maturity of 28.0 years / end of month,
unit,,
unit multiplier,one,
last update,2015-02-02 10:29:13,
2008-12,5.39,
2009-01,5.40,
2009-02,5.40,
2009-03,5.41,
2009-04,5.41,
2009-05,5.41,
2009-06,5.41,
2009-07,5.40,
2009-08,5.40,
2009-09,5.39,
2009-10,5.38,
2009-11,5.37,
2009-12,5.36,
2010-01,5.35,
2010-02,5.34,
2010-03,5.33,
2010-04,5.32,
2010-05,5.31,
2010-06,5.30,
2010-07,5.28,
2010-08,5.26,
2010-09,5.24,
2010-10,5.22,
2010-11,5.21,
2010-12,5.20,
2011-01,5.19,
2011-02,5.18,
2011-03,5.17,
2011-04,5.16,
2011-05,5.15,
2011-06,5.14,
2011-07,5.13,
2011-08,5.13,
2011-09,5.13,
2011-10,5.12,
2011-11,5.12,
2011-12,5.11,
2012-01,5.11,
2012-02,5.10,
2012-03,5.08,
2012-04,5.07,
2012-05,5.05,
2012-06,5.04,
2012-07,5.03,
2012-08,5.02,
2012-09,5.01,
2012-10,5.00,
2012-11,4.99,
2012-12,4.98,
2013-01,4.97,
2013-02,4.96,
2013-03,4.94,
2013-04,4.92,
2013-05,4.90,
2013-06,4.89,
2013-07,4.87,
2013-08,4.86,
2013-09,4.85,
2013-10,4.84,
2013-11,4.84,
2013-12,4.83,
2014-01,4.82,
2014-02,4.80,
2014-03,4.79,
2014-04,4.77,
2014-05,4.75,
2014-06,4.73,
2014-07,4.70,
2014-08,4.67,
2014-09,4.63,
2014-10,4.60,
2014-11,4.56,
2014-12,4.52,
2015-01,4.47,
