"",BBSF2.M.1.T.00000.DGE01.I.F.WPS.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.DGE01.I.F.WPS.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Funds-of-funds: Mixed funds / Securities total,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:45,
2009-09,1463,
2009-10,1784,
2009-11,1798,
2009-12,1857,
2010-01,1779,
2010-02,1527,
2010-03,1550,
2010-04,1591,
2010-05,1579,
2010-06,1598,
2010-07,2067,
2010-08,5384,
2010-09,5328,
2010-10,5463,
2010-11,5661,
2010-12,5916,
2011-01,5632,
2011-02,6020,
2011-03,5929,
2011-04,6000,
2011-05,6111,
2011-06,6233,
2011-07,6207,
2011-08,6033,
2011-09,6015,
2011-10,6126,
2011-11,5959,
2011-12,6324,
2012-01,6352,
2012-02,6504,
2012-03,6349,
2012-04,6507,
2012-05,6628,
2012-06,6605,
2012-07,15418,
2012-08,15699,
2012-09,15704,
2012-10,16590,
2012-11,16507,
2012-12,16664,
2013-01,17014,
2013-02,17429,
2013-03,17881,
2013-04,18175,
2013-05,18637,
2013-06,18235,
2013-07,18601,
2013-08,18654,
2013-09,18997,
2013-10,19577,
2013-11,19697,
2013-12,20289,
2014-01,20402,
2014-02,20701,
2014-03,21140,
2014-04,21385,
2014-05,21881,
2014-06,22260,
2014-07,22372,
2014-08,22870,
2014-09,23209,
2014-10,23303,
2014-11,23857,
