"",BBK01.OEAC49T,BBK01.OEAC49T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:54:54,
2002-01,0.553,
2002-04,0.551,
2002-07,0.544,
2002-10,0.550,
2003-01,0.546,
2003-04,0.540,
2003-07,0.539,
2003-10,0.524,
2004-01,0.518,
2004-04,0.515,
2004-07,0.510,
2004-10,0.504,
2005-01,0.489,
2005-04,0.485,
2005-07,0.457,
2005-10,0.441,
2006-01,0.429,
2006-04,0.428,
2006-07,0.428,
2006-10,0.424,
2007-01,0.420,
2007-04,0.416,
2007-07,0.414,
2007-10,0.427,
2008-01,0.421,
2008-04,0.410,
2008-07,0.407,
2008-10,0.405,
2009-01,0.410,
2009-04,0.419,
2009-07,0.424,
2009-10,0.412,
2010-01,0.424,
2010-04,0.438,
2010-07,0.443,
2010-10,0.434,
2011-01,0.425,
2011-04,0.431,
2011-07,0.433,
2011-10,0.437,
2012-01,0.433,
2012-04,0.435,
2012-07,0.431,
2012-10,0.432,
2013-01,0.433,
2013-04,0.428,
2013-07,0.438,
2013-10,0.425,
2014-01,0.431,
2014-04,0.436,
2014-07,0.449,
