"",BBK01.PC3252,BBK01.PC3252_FLAGS
"",Lending to domestic enterprises and self-employed persons / Short-term / Building and loan asscociations,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:22:10,
1999-01,0.281,
1999-04,0.239,
1999-07,0.286,
1999-10,0.285,
2000-01,0.214,
2000-04,0.210,
2000-07,0.201,
2000-10,0.234,
2001-01,0.225,
2001-04,0.233,
2001-07,0.232,
2001-10,0.273,
2002-01,0.234,
2002-04,0.271,
2002-07,0.261,
2002-10,0.252,
2003-01,0.245,
2003-04,0.200,
2003-07,0.205,
2003-10,0.377,
2004-01,0.273,
2004-04,0.308,
2004-07,0.319,
2004-10,0.361,
2005-01,0.332,
2005-04,0.310,
2005-07,0.284,
2005-10,0.292,
2006-01,0.290,
2006-04,0.265,
2006-07,0.257,
2006-10,0.480,
2007-01,0.513,
2007-04,0.458,
2007-07,0.493,
2007-10,0.209,
2008-01,0.211,
2008-04,0.195,
2008-07,0.202,
2008-10,0.205,
2009-01,0.232,
2009-04,0.232,
2009-07,0.232,
2009-10,0.230,
2010-01,0.229,
2010-04,0.258,
2010-07,0.226,
2010-10,0.202,
2011-01,0.231,
2011-04,0.235,
2011-07,0.242,
2011-10,0.261,
2012-01,0.333,
2012-04,0.311,
2012-07,0.278,
2012-10,0.259,
2013-01,0.270,
2013-04,0.249,
2013-07,0.255,
2013-10,0.257,
2014-01,0.274,
2014-04,0.270,
2014-07,0.351,
2014-10,0.282,
