"",BBK01.OEAA22G,BBK01.OEAA22G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:15:28,
2002-01,12.205,
2002-04,12.270,
2002-07,12.617,
2002-10,12.935,
2003-01,12.357,
2003-04,12.034,
2003-07,11.893,
2003-10,12.222,
2004-01,12.279,
2004-04,12.583,
2004-07,12.284,
2004-10,12.590,
2005-01,11.369,
2005-04,11.103,
2005-07,11.578,
2005-10,11.213,
2006-01,11.640,
2006-04,11.456,
2006-07,11.599,
2006-10,11.062,
2007-01,11.137,
2007-04,11.191,
2007-07,11.613,
2007-10,11.904,
2008-01,11.600,
2008-04,12.032,
2008-07,13.219,
2008-10,13.823,
2009-01,16.458,
2009-04,18.490,
2009-07,20.006,
2009-10,20.024,
2010-01,20.025,
2010-04,20.112,
2010-07,20.210,
2010-10,21.330,
2011-01,21.287,
2011-04,20.464,
2011-07,21.036,
2011-10,22.149,
2012-01,21.891,
2012-04,21.639,
2012-07,21.507,
2012-10,21.713,
2013-01,21.396,
2013-04,21.288,
2013-07,20.020,
2013-10,21.176,
2014-01,20.802,
2014-04,20.346,
2014-07,20.305,
